dates,producto,precio_mean
2013-12-01,PAPA AMARILLA,1.53
2013-12-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.64
2013-12-01,PAPA HUAMANTANGA,1.24
2013-12-01,PAPA PERUANITA (INJERTO),1.34
2013-12-02,PAPA AMARILLA,1.55
2013-12-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.66
2013-12-02,PAPA HUAMANTANGA,1.21
2013-12-02,PAPA PERUANITA (INJERTO),1.31
2013-12-03,PAPA AMARILLA,1.76
2013-12-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.64
2013-12-03,PAPA HUAMANTANGA,1.26
2013-12-03,PAPA PERUANITA (INJERTO),1.34
2013-12-04,PAPA AMARILLA,1.88
2013-12-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.6
2013-12-04,PAPA HUAMANTANGA,1.26
2013-12-04,PAPA PERUANITA (INJERTO),1.49
2013-12-05,PAPA AMARILLA,2.2
2013-12-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.84
2013-12-05,PAPA HUAMANTANGA,1.26
2013-12-05,PAPA PERUANITA (INJERTO),1.56
2013-12-06,PAPA AMARILLA,2.2
2013-12-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.83
2013-12-06,PAPA HUAMANTANGA,1.33
2013-12-06,PAPA PERUANITA (INJERTO),1.76
2013-12-07,PAPA AMARILLA,2.23
2013-12-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.78
2013-12-07,PAPA HUAMANTANGA,1.26
2013-12-07,PAPA PERUANITA (INJERTO),1.75
2013-12-08,PAPA AMARILLA,2.18
2013-12-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.67
2013-12-08,PAPA HUAMANTANGA,1.3
2013-12-08,PAPA PERUANITA (INJERTO),1.8
2013-12-09,PAPA AMARILLA,2.15
