date,cantidad (TM)
2015-01-01,0
2015-01-02,85
2015-01-03,169
2015-01-04,170
2015-01-05,140
2015-01-06,267
2015-01-07,350
2015-01-08,279
2015-01-09,384
2015-01-10,358
2015-01-11,200
2015-01-12,56
2015-01-13,303
2015-01-14,296
2015-01-15,306
2015-01-16,375
2015-01-17,367
2015-01-18,267
2015-01-19,32
2015-01-20,413
2015-01-21,295
2015-01-22,354
2015-01-23,298
2015-01-24,444
2015-01-25,334
2015-01-26,39
2015-01-27,272
2015-01-28,291
2015-01-29,506
2015-01-30,460
2015-01-31,797
2015-02-01,351
2015-02-02,141
2015-02-03,458
2015-02-04,403
2015-02-05,586
2015-02-06,549
2015-02-07,605
2015-02-08,437
2015-02-09,110
2015-02-10,468
2015-02-11,341
2015-02-12,546
2015-02-13,459
2015-02-14,556
2015-02-15,490
2015-02-16,124
2015-02-17,333
2015-02-18,380
2015-02-19,626
2015-02-20,612
2015-02-21,737
2015-02-22,470
2015-02-23,151
2015-02-24,581
2015-02-25,497
2015-02-26,470
2015-02-27,706
2015-02-28,1075
2015-03-01,180
2015-03-02,190
2015-03-03,466
2015-03-04,487
2015-03-05,475
2015-03-06,783
2015-03-07,580
2015-03-08,441
2015-03-09,177
2015-03-10,444
2015-03-11,312
2015-03-12,578
2015-03-13,529
2015-03-14,708
2015-03-15,451
2015-03-16,197
2015-03-17,591
2015-03-18,602
2015-03-19,745
2015-03-20,812
2015-03-21,806
2015-03-22,285
2015-03-23,308
2015-03-24,60
2015-03-25,318
2015-03-26,322
2015-03-27,685
2015-03-28,632
2015-03-29,1135
2015-03-30,583
2015-03-31,748
2015-04-01,427
2015-04-02,792
2015-04-03,394
2015-04-04,588
2015-04-05,404
2015-04-06,165
2015-04-07,510
2015-04-08,650
2015-04-09,1027
2015-04-10,694
2015-04-11,715
2015-04-12,500
2015-04-13,267
2015-04-14,546
2015-04-15,440
2015-04-16,635
2015-04-17,616
2015-04-18,573
2015-04-19,472
2015-04-20,270
2015-04-21,686
2015-04-22,535
2015-04-23,604
2015-04-24,495
2015-04-25,730
2015-04-26,521
2015-04-27,333
2015-04-28,693
2015-04-29,711
2015-04-30,1443
2015-05-01,918
2015-05-02,604
2015-05-03,577
2015-05-04,360
2015-05-05,639
2015-05-06,586
2015-05-07,734
2015-05-08,163
2015-05-09,1532
2015-05-10,443
2015-05-11,162
2015-05-12,519
2015-05-13,641
2015-05-14,515
2015-05-15,843
2015-05-16,643
2015-05-17,648
2015-05-18,352
2015-05-19,66
2015-05-20,1141
2015-05-21,1021
2015-05-22,793
2015-05-23,808
2015-05-24,846
2015-05-25,230
2015-05-26,730
2015-05-27,628
2015-05-28,910
2015-05-29,730
2015-05-30,725
2015-05-31,768
2015-06-01,207
2015-06-02,671
2015-06-03,842
2015-06-04,762
2015-06-05,552
2015-06-06,878
2015-06-07,588
2015-06-08,213
2015-06-09,593
2015-06-10,554
2015-06-11,454
2015-06-12,997
2015-06-13,817
2015-06-14,553
2015-06-15,324
2015-06-16,614
2015-06-17,474
2015-06-18,671
2015-06-19,876
2015-06-20,674
2015-06-21,582
2015-06-22,231
2015-06-23,580
2015-06-24,585
2015-06-25,612
2015-06-26,513
2015-06-27,671
2015-06-28,595
2015-06-29,233
2015-06-30,953
2015-07-01,585
2015-07-02,931
2015-07-03,687
2015-07-04,697
2015-07-05,439
2015-07-06,241
2015-07-07,527
2015-07-08,569
2015-07-09,623
2015-07-10,566
2015-07-11,692
2015-07-12,359
2015-07-13,210
2015-07-14,463
2015-07-15,546
2015-07-16,556
2015-07-17,586
2015-07-18,734
2015-07-19,432
2015-07-20,194
2015-07-21,488
2015-07-22,450
2015-07-23,521
2015-07-24,462
2015-07-25,649
2015-07-26,377
2015-07-27,206
2015-07-28,375
2015-07-29,192
2015-07-30,313
2015-07-31,601
2015-08-01,426
2015-08-02,377
2015-08-03,176
2015-08-04,479
2015-08-05,357
2015-08-06,448
2015-08-07,428
2015-08-08,425
2015-08-09,382
2015-08-10,135
2015-08-11,338
2015-08-12,296
2015-08-13,346
2015-08-14,465
2015-08-15,419
2015-08-16,371
2015-08-17,162
2015-08-18,383
2015-08-19,264
2015-08-20,374
2015-08-21,329
2015-08-22,371
2015-08-23,192
2015-08-24,107
2015-08-25,266
2015-08-26,199
2015-08-27,203
2015-08-28,422
2015-08-29,335
2015-08-30,198
2015-08-31,290
2015-09-01,276
2015-09-02,223
2015-09-03,385
2015-09-04,251
2015-09-05,337
2015-09-06,296
2015-09-07,104
2015-09-08,274
2015-09-09,151
2015-09-10,360
2015-09-11,259
2015-09-12,325
2015-09-13,115
2015-09-14,79
2015-09-15,358
2015-09-16,232
2015-09-17,402
2015-09-18,375
2015-09-19,297
2015-09-20,141
2015-09-21,132
2015-09-22,256
2015-09-23,197
2015-09-24,329
2015-09-25,269
2015-09-26,327
2015-09-27,177
2015-09-28,111
2015-09-29,266
2015-09-30,360
2015-10-01,60
2015-10-02,192
2015-10-03,250
2015-10-04,204
2015-10-05,117
2015-10-06,212
2015-10-07,154
2015-10-08,279
2015-10-09,181
2015-10-10,249
2015-10-11,187
2015-10-12,62
2015-10-13,261
2015-10-14,193
2015-10-15,332
2015-10-16,157
2015-10-17,223
2015-10-18,95
2015-10-19,79
2015-10-20,238
2015-10-21,246
2015-10-22,378
2015-10-23,214
2015-10-24,299
2015-10-25,154
2015-10-26,88
2015-10-27,225
2015-10-28,217
2015-10-29,304
2015-10-30,213
2015-10-31,421
2015-11-01,5
2015-11-02,51
2015-11-03,200
2015-11-04,132
2015-11-05,311
2015-11-06,188
2015-11-07,278
2015-11-08,195
2015-11-09,138
2015-11-10,289
2015-11-11,213
2015-11-12,499
2015-11-13,283
2015-11-14,267
2015-11-15,116
2015-11-16,25
2015-11-17,373
