producto,year,month,day,precio_min,precio_max,precio_mean
CEBOLLA CABEZA BLANCA NACIONAL,2022,4,30,1.5,1.9,1.73
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,4,30,1.4,1.9,1.6
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,4,30,1.5,2.0,1.75
PAPA AMARILLA,2022,4,30,1.4,1.9,1.68
PAPA BLANCA/VALLE/OTROS,2022,4,30,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,4,30,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,4,30,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,4,30,1.5,1.9,1.68
PAPA NEGRA ANDINA,2022,4,30,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,4,30,1.4,1.8,1.63
PAPA YUNGAY,2022,4,30,1.4,1.8,1.58
PAPA UNICA,2022,4,30,1.4,1.8,1.58
PAPA CANCHAN,2022,4,30,1.4,1.8,1.6
CEBOLLA CABEZA BLANCA NACIONAL,2022,4,29,1.6,1.9,1.75
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,4,29,1.6,1.9,1.75
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,4,29,1.5,2.0,1.75
PAPA AMARILLA,2022,4,29,1.4,1.9,1.68
PAPA BLANCA/VALLE/OTROS,2022,4,29,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,4,29,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,4,29,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,4,29,1.5,1.9,1.68
PAPA NEGRA ANDINA,2022,4,29,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,4,29,1.4,1.8,1.63
PAPA YUNGAY,2022,4,29,1.4,1.8,1.58
PAPA UNICA,2022,4,29,1.4,1.8,1.58
PAPA CANCHAN,2022,4,29,1.4,1.8,1.6
CEBOLLA CABEZA BLANCA NACIONAL,2022,4,28,1.6,2.0,1.83
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,4,28,1.5,1.9,1.7
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,4,28,1.5,2.0,1.63
PAPA AMARILLA,2022,4,28,1.5,1.9,1.7
PAPA BLANCA/VALLE/OTROS,2022,4,28,1.5,1.8,1.65
PAPA COLOR/VALLE/OTROS,2022,4,28,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,4,28,1.45,1.7,1.56
PAPA HUAMANTANGA,2022,4,28,1.5,1.9,1.7
PAPA NEGRA ANDINA,2022,4,28,1.5,1.7,1.63
PAPA PERUANITA (INJERTO),2022,4,28,1.5,1.8,1.65
PAPA YUNGAY,2022,4,28,1.5,1.8,1.6
PAPA UNICA,2022,4,28,1.5,1.8,1.65
PAPA CANCHAN,2022,4,28,1.4,1.8,1.63
CEBOLLA CABEZA BLANCA NACIONAL,2022,4,27,1.6,2.0,1.83
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,4,27,1.5,1.9,1.7
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,4,27,1.0,2.0,1.5
PAPA AMARILLA,2022,4,27,1.5,1.9,1.7
PAPA BLANCA/VALLE/OTROS,2022,4,27,1.5,1.8,1.65
PAPA COLOR/VALLE/OTROS,2022,4,27,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,4,27,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,4,27,1.5,1.9,1.7
PAPA NEGRA ANDINA,2022,4,27,1.5,1.8,1.65
PAPA PERUANITA (INJERTO),2022,4,27,1.5,1.9,1.7
PAPA YUNGAY,2022,4,27,1.5,1.8,1.65
PAPA UNICA,2022,4,27,1.5,1.8,1.65
PAPA CANCHAN,2022,4,27,1.5,1.8,1.65
CEBOLLA CABEZA BLANCA NACIONAL,2022,4,26,1.6,2.0,1.83
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,4,26,1.5,1.9,1.7
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,4,26,1.5,2.0,1.75
PAPA AMARILLA,2022,4,26,1.4,1.9,1.68
PAPA BLANCA/VALLE/OTROS,2022,4,26,1.5,1.8,1.65
PAPA COLOR/VALLE/OTROS,2022,4,26,1.4,1.8,1.63
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,4,26,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,4,26,1.5,1.9,1.7
PAPA NEGRA ANDINA,2022,4,26,1.4,1.8,1.6
PAPA PERUANITA (INJERTO),2022,4,26,1.5,1.9,1.7
PAPA YUNGAY,2022,4,26,1.5,1.8,1.65
PAPA UNICA,2022,4,26,1.5,1.8,1.65
PAPA CANCHAN,2022,4,26,1.5,1.8,1.65
CEBOLLA CABEZA BLANCA NACIONAL,2022,4,25,1.6,2.0,1.83
