producto,year,month,day,precio_min,precio_max,precio_mean,date
PAPA BLANCA/VALLE/OTROS,2022,5,1,1.4,1.8,1.58,2022-05-01
PAPA COLOR/VALLE/OTROS,2022,5,1,1.5,1.8,1.65,2022-05-01
PAPA NEGRA ANDINA,2022,5,1,1.4,1.7,1.55,2022-05-01
PAPA YUNGAY,2022,5,1,1.4,1.8,1.58,2022-05-01
PAPA UNICA,2022,5,1,1.4,1.8,1.58,2022-05-01
PAPA CANCHAN,2022,5,1,1.4,1.8,1.6,2022-05-01
PAPA BLANCA/VALLE/OTROS,2022,5,2,1.4,1.8,1.58,2022-05-02
PAPA COLOR/VALLE/OTROS,2022,5,2,1.5,1.8,1.65,2022-05-02
PAPA NEGRA ANDINA,2022,5,2,1.4,1.7,1.55,2022-05-02
PAPA YUNGAY,2022,5,2,1.4,1.8,1.58,2022-05-02
PAPA UNICA,2022,5,2,1.4,1.8,1.6,2022-05-02
PAPA CANCHAN,2022,5,2,1.4,1.8,1.6,2022-05-02
PAPA BLANCA/VALLE/OTROS,2022,5,3,1.4,1.8,1.58,2022-05-03
PAPA COLOR/VALLE/OTROS,2022,5,3,1.5,1.8,1.65,2022-05-03
PAPA NEGRA ANDINA,2022,5,3,1.4,1.7,1.55,2022-05-03
PAPA YUNGAY,2022,5,3,1.4,1.8,1.58,2022-05-03
PAPA UNICA,2022,5,3,1.4,1.8,1.6,2022-05-03
PAPA CANCHAN,2022,5,3,1.4,1.8,1.6,2022-05-03
PAPA BLANCA/VALLE/OTROS,2022,5,4,1.4,1.8,1.58,2022-05-04
PAPA COLOR/VALLE/OTROS,2022,5,4,1.5,1.8,1.65,2022-05-04
PAPA NEGRA ANDINA,2022,5,4,1.4,1.7,1.55,2022-05-04
PAPA YUNGAY,2022,5,4,1.4,1.8,1.58,2022-05-04
PAPA UNICA,2022,5,4,1.4,1.8,1.6,2022-05-04
PAPA CANCHAN,2022,5,4,1.4,1.8,1.6,2022-05-04
PAPA BLANCA/VALLE/OTROS,2022,5,5,1.4,1.7,1.55,2022-05-05
PAPA COLOR/VALLE/OTROS,2022,5,5,1.5,1.8,1.65,2022-05-05
PAPA NEGRA ANDINA,2022,5,5,1.4,1.7,1.55,2022-05-05
PAPA YUNGAY,2022,5,5,1.4,1.8,1.58,2022-05-05
PAPA UNICA,2022,5,5,1.4,1.7,1.55,2022-05-05
PAPA CANCHAN,2022,5,5,1.4,1.7,1.55,2022-05-05
PAPA BLANCA/VALLE/OTROS,2022,5,6,1.4,1.7,1.55,2022-05-06
PAPA COLOR/VALLE/OTROS,2022,5,6,1.5,1.8,1.65,2022-05-06
PAPA NEGRA ANDINA,2022,5,6,1.4,1.7,1.55,2022-05-06
PAPA YUNGAY,2022,5,6,1.45,1.8,1.59,2022-05-06
PAPA UNICA,2022,5,6,1.4,1.7,1.55,2022-05-06
PAPA CANCHAN,2022,5,6,1.4,1.7,1.55,2022-05-06
PAPA BLANCA/VALLE/OTROS,2022,5,7,1.3,1.7,1.53,2022-05-07
PAPA COLOR/VALLE/OTROS,2022,5,7,1.5,1.8,1.65,2022-05-07
PAPA NEGRA ANDINA,2022,5,7,1.35,1.7,1.54,2022-05-07
PAPA YUNGAY,2022,5,7,1.4,1.8,1.58,2022-05-07
PAPA UNICA,2022,5,7,1.3,1.7,1.5,2022-05-07
PAPA CANCHAN,2022,5,7,1.3,1.7,1.5,2022-05-07
PAPA BLANCA/VALLE/OTROS,2022,5,8,1.3,1.7,1.53,2022-05-08
PAPA COLOR/VALLE/OTROS,2022,5,8,1.5,1.8,1.65,2022-05-08
PAPA NEGRA ANDINA,2022,5,8,1.35,1.7,1.54,2022-05-08
PAPA YUNGAY,2022,5,8,1.4,1.8,1.58,2022-05-08
PAPA UNICA,2022,5,8,1.3,1.7,1.5,2022-05-08
PAPA CANCHAN,2022,5,8,1.3,1.7,1.5,2022-05-08
