producto,procedencia,year,month,day,cantidad (TM),date
PAPA AMARILLA,APURIMAC,2015,1,1,0,2015-01-01
PAPA AMARILLA,APURIMAC,2015,1,2,0,2015-01-02
PAPA AMARILLA,APURIMAC,2015,1,3,0,2015-01-03
PAPA AMARILLA,APURIMAC,2015,1,4,0,2015-01-04
PAPA AMARILLA,APURIMAC,2015,1,5,0,2015-01-05
PAPA AMARILLA,APURIMAC,2015,1,6,0,2015-01-06
PAPA AMARILLA,APURIMAC,2015,1,7,0,2015-01-07
PAPA AMARILLA,APURIMAC,2015,1,8,0,2015-01-08
PAPA AMARILLA,APURIMAC,2015,1,9,0,2015-01-09
PAPA AMARILLA,APURIMAC,2015,1,10,0,2015-01-10
PAPA AMARILLA,APURIMAC,2015,1,11,0,2015-01-11
PAPA AMARILLA,APURIMAC,2015,1,12,0,2015-01-12
PAPA AMARILLA,APURIMAC,2015,1,13,0,2015-01-13
PAPA AMARILLA,APURIMAC,2015,1,14,27,2015-01-14
PAPA AMARILLA,APURIMAC,2015,1,15,6,2015-01-15
PAPA AMARILLA,APURIMAC,2015,1,16,0,2015-01-16
PAPA AMARILLA,APURIMAC,2015,1,17,0,2015-01-17
PAPA AMARILLA,APURIMAC,2015,1,18,0,2015-01-18
PAPA AMARILLA,APURIMAC,2015,1,19,0,2015-01-19
PAPA AMARILLA,APURIMAC,2015,1,20,0,2015-01-20
PAPA AMARILLA,APURIMAC,2015,1,21,0,2015-01-21
PAPA AMARILLA,APURIMAC,2015,1,22,0,2015-01-22
PAPA AMARILLA,APURIMAC,2015,1,23,0,2015-01-23
PAPA AMARILLA,APURIMAC,2015,1,24,0,2015-01-24
PAPA AMARILLA,APURIMAC,2015,1,25,0,2015-01-25
PAPA AMARILLA,APURIMAC,2015,1,26,0,2015-01-26
PAPA AMARILLA,APURIMAC,2015,1,27,0,2015-01-27
PAPA AMARILLA,APURIMAC,2015,1,28,0,2015-01-28
PAPA AMARILLA,APURIMAC,2015,1,29,0,2015-01-29
PAPA AMARILLA,APURIMAC,2015,1,30,14,2015-01-30
PAPA AMARILLA,APURIMAC,2015,1,31,0,2015-01-31
PAPA AMARILLA,AYACUCHO,2015,1,1,0,2015-01-01
PAPA AMARILLA,AYACUCHO,2015,1,2,0,2015-01-02
PAPA AMARILLA,AYACUCHO,2015,1,3,0,2015-01-03
PAPA AMARILLA,AYACUCHO,2015,1,4,0,2015-01-04
PAPA AMARILLA,AYACUCHO,2015,1,5,0,2015-01-05
PAPA AMARILLA,AYACUCHO,2015,1,6,0,2015-01-06
PAPA AMARILLA,AYACUCHO,2015,1,7,0,2015-01-07
PAPA AMARILLA,AYACUCHO,2015,1,8,0,2015-01-08
PAPA AMARILLA,AYACUCHO,2015,1,9,0,2015-01-09
PAPA AMARILLA,AYACUCHO,2015,1,10,0,2015-01-10
PAPA AMARILLA,AYACUCHO,2015,1,11,0,2015-01-11
PAPA AMARILLA,AYACUCHO,2015,1,12,0,2015-01-12
PAPA AMARILLA,AYACUCHO,2015,1,13,0,2015-01-13
PAPA AMARILLA,AYACUCHO,2015,1,14,0,2015-01-14
PAPA AMARILLA,AYACUCHO,2015,1,15,0,2015-01-15
PAPA AMARILLA,AYACUCHO,2015,1,16,0,2015-01-16
PAPA AMARILLA,AYACUCHO,2015,1,17,0,2015-01-17
PAPA AMARILLA,AYACUCHO,2015,1,18,0,2015-01-18
PAPA AMARILLA,AYACUCHO,2015,1,19,0,2015-01-19
PAPA AMARILLA,AYACUCHO,2015,1,20,0,2015-01-20
PAPA AMARILLA,AYACUCHO,2015,1,21,0,2015-01-21
PAPA AMARILLA,AYACUCHO,2015,1,22,0,2015-01-22
PAPA AMARILLA,AYACUCHO,2015,1,23,0,2015-01-23
PAPA AMARILLA,AYACUCHO,2015,1,24,0,2015-01-24
PAPA AMARILLA,AYACUCHO,2015,1,25,0,2015-01-25
PAPA AMARILLA,AYACUCHO,2015,1,26,0,2015-01-26
PAPA AMARILLA,AYACUCHO,2015,1,27,15,2015-01-27
PAPA AMARILLA,AYACUCHO,2015,1,28,0,2015-01-28
PAPA AMARILLA,AYACUCHO,2015,1,29,0,2015-01-29
PAPA AMARILLA,AYACUCHO,2015,1,30,0,2015-01-30
PAPA AMARILLA,AYACUCHO,2015,1,31,0,2015-01-31
PAPA AMARILLA,HUANUCO,2015,1,1,0,2015-01-01
PAPA AMARILLA,HUANUCO,2015,1,2,5,2015-01-02
PAPA AMARILLA,HUANUCO,2015,1,3,24,2015-01-03
PAPA AMARILLA,HUANUCO,2015,1,4,89,2015-01-04
PAPA AMARILLA,HUANUCO,2015,1,5,13,2015-01-05
PAPA AMARILLA,HUANUCO,2015,1,6,78,2015-01-06
PAPA AMARILLA,HUANUCO,2015,1,7,22,2015-01-07
PAPA AMARILLA,HUANUCO,2015,1,8,47,2015-01-08
PAPA AMARILLA,HUANUCO,2015,1,9,91,2015-01-09
