dates,producto,precio_mean
2020-01-01,PAPA AMARILLA,2.13
2020-01-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.6
2020-01-01,PAPA HUAMANTANGA,1.53
2020-01-01,PAPA PERUANITA (INJERTO),1.98
2020-01-02,PAPA AMARILLA,2.15
2020-01-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.73
2020-01-02,PAPA HUAMANTANGA,1.5
2020-01-02,PAPA PERUANITA (INJERTO),1.9
2020-01-03,PAPA AMARILLA,2.1
2020-01-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.55
2020-01-03,PAPA HUAMANTANGA,1.45
2020-01-03,PAPA PERUANITA (INJERTO),2.1
2020-01-04,PAPA AMARILLA,2.1
2020-01-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.5
2020-01-04,PAPA HUAMANTANGA,1.5
2020-01-04,PAPA PERUANITA (INJERTO),2.1
2020-01-05,PAPA AMARILLA,2.1
2020-01-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.5
2020-01-05,PAPA HUAMANTANGA,1.5
2020-01-05,PAPA PERUANITA (INJERTO),2.1
2020-01-06,PAPA AMARILLA,2.1
2020-01-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.55
2020-01-06,PAPA HUAMANTANGA,1.45
2020-01-06,PAPA PERUANITA (INJERTO),2.0
2020-01-07,PAPA AMARILLA,2.25
2020-01-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.6
2020-01-07,PAPA HUAMANTANGA,1.45
2020-01-07,PAPA PERUANITA (INJERTO),2.23
2020-01-08,PAPA AMARILLA,2.15
2020-01-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2020-01-08,PAPA HUAMANTANGA,1.35
2020-01-08,PAPA PERUANITA (INJERTO),2.1
2020-01-09,PAPA AMARILLA,2.08
2020-01-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2020-01-09,PAPA HUAMANTANGA,1.3
2020-01-09,PAPA PERUANITA (INJERTO),2.03
2020-01-10,PAPA AMARILLA,1.9
2020-01-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2020-01-10,PAPA HUAMANTANGA,1.25
2020-01-10,PAPA PERUANITA (INJERTO),1.7
2020-01-11,PAPA AMARILLA,1.9
2020-01-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2020-01-11,PAPA HUAMANTANGA,1.25
2020-01-11,PAPA PERUANITA (INJERTO),1.58
2020-01-12,PAPA AMARILLA,1.9
2020-01-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2020-01-12,PAPA HUAMANTANGA,1.25
2020-01-12,PAPA PERUANITA (INJERTO),1.58
2020-01-13,PAPA AMARILLA,1.7
2020-01-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2020-01-13,PAPA HUAMANTANGA,1.05
2020-01-13,PAPA PERUANITA (INJERTO),1.4
2020-01-14,PAPA AMARILLA,1.5
2020-01-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2020-01-14,PAPA HUAMANTANGA,0.9
2020-01-14,PAPA PERUANITA (INJERTO),1.2
2020-01-15,PAPA AMARILLA,1.4
2020-01-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-01-15,PAPA HUAMANTANGA,0.95
2020-01-15,PAPA PERUANITA (INJERTO),1.15
2020-01-16,PAPA AMARILLA,1.4
2020-01-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-01-16,PAPA HUAMANTANGA,0.94
2020-01-16,PAPA PERUANITA (INJERTO),1.25
2020-01-17,PAPA AMARILLA,1.7
2020-01-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.0
2020-01-17,PAPA HUAMANTANGA,0.9
2020-01-17,PAPA PERUANITA (INJERTO),1.35
2020-01-18,PAPA AMARILLA,1.7
2020-01-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2020-01-18,PAPA HUAMANTANGA,0.98
2020-01-18,PAPA PERUANITA (INJERTO),1.48
2020-01-19,PAPA AMARILLA,1.7
