dates,producto,precio_mean
2015-01-01,PAPA AMARILLA,1.77
2015-01-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.63
2015-01-01,PAPA HUAMANTANGA,1.55
2015-01-01,PAPA PERUANITA (INJERTO),1.78
2015-01-02,PAPA AMARILLA,1.73
2015-01-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.55
2015-01-02,PAPA HUAMANTANGA,1.55
2015-01-02,PAPA PERUANITA (INJERTO),1.73
2015-01-03,PAPA AMARILLA,1.73
2015-01-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.58
2015-01-03,PAPA HUAMANTANGA,1.55
2015-01-03,PAPA PERUANITA (INJERTO),1.73
2015-01-04,PAPA AMARILLA,1.85
2015-01-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.63
2015-01-04,PAPA HUAMANTANGA,1.53
2015-01-04,PAPA PERUANITA (INJERTO),1.85
2015-01-05,PAPA AMARILLA,2.0
2015-01-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.65
2015-01-05,PAPA HUAMANTANGA,1.5
2015-01-05,PAPA PERUANITA (INJERTO),2.0
2015-01-06,PAPA AMARILLA,2.0
2015-01-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.7
2015-01-06,PAPA HUAMANTANGA,1.5
2015-01-06,PAPA PERUANITA (INJERTO),2.0
2015-01-07,PAPA AMARILLA,2.13
2015-01-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.78
2015-01-07,PAPA HUAMANTANGA,1.5
2015-01-07,PAPA PERUANITA (INJERTO),2.03
2015-01-08,PAPA AMARILLA,2.18
2015-01-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.78
2015-01-08,PAPA HUAMANTANGA,1.43
2015-01-08,PAPA PERUANITA (INJERTO),2.0
2015-01-09,PAPA AMARILLA,2.13
2015-01-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.78
2015-01-09,PAPA HUAMANTANGA,1.48
2015-01-09,PAPA PERUANITA (INJERTO),1.98
2015-01-10,PAPA AMARILLA,2.08
2015-01-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.65
2015-01-10,PAPA HUAMANTANGA,1.4
2015-01-10,PAPA PERUANITA (INJERTO),1.88
2015-01-11,PAPA AMARILLA,1.85
2015-01-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.65
2015-01-11,PAPA HUAMANTANGA,1.33
2015-01-11,PAPA PERUANITA (INJERTO),1.73
2015-01-12,PAPA AMARILLA,1.65
2015-01-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.65
2015-01-12,PAPA HUAMANTANGA,1.25
2015-01-12,PAPA PERUANITA (INJERTO),1.55
2015-01-13,PAPA AMARILLA,1.55
2015-01-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2015-01-13,PAPA HUAMANTANGA,1.3
2015-01-13,PAPA PERUANITA (INJERTO),1.45
2015-01-14,PAPA AMARILLA,1.35
2015-01-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2015-01-14,PAPA HUAMANTANGA,1.35
2015-01-14,PAPA PERUANITA (INJERTO),1.25
2015-01-15,PAPA AMARILLA,1.3
2015-01-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2015-01-15,PAPA HUAMANTANGA,1.18
2015-01-15,PAPA PERUANITA (INJERTO),1.25
2015-01-16,PAPA AMARILLA,1.13
2015-01-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.13
2015-01-16,PAPA HUAMANTANGA,1.13
2015-01-16,PAPA PERUANITA (INJERTO),1.15
2015-01-17,PAPA AMARILLA,1.2
2015-01-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.18
2015-01-17,PAPA HUAMANTANGA,1.05
2015-01-17,PAPA PERUANITA (INJERTO),1.18
2015-01-18,PAPA AMARILLA,1.2
2015-01-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2015-01-18,PAPA HUAMANTANGA,0.9
2015-01-18,PAPA PERUANITA (INJERTO),1.2
2015-01-19,PAPA AMARILLA,1.2
2015-01-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2015-01-19,PAPA HUAMANTANGA,0.83
2015-01-19,PAPA PERUANITA (INJERTO),1.2
2015-01-20,PAPA AMARILLA,1.3
2015-01-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.13
2015-01-20,PAPA HUAMANTANGA,0.85
2015-01-20,PAPA PERUANITA (INJERTO),1.15
2015-01-21,PAPA AMARILLA,1.5
2015-01-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.25
2015-01-21,PAPA HUAMANTANGA,0.75
2015-01-21,PAPA PERUANITA (INJERTO),1.16
2015-01-22,PAPA AMARILLA,1.83
2015-01-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.3
2015-01-22,PAPA HUAMANTANGA,0.75
2015-01-22,PAPA PERUANITA (INJERTO),1.25
2015-01-23,PAPA AMARILLA,1.98
2015-01-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2015-01-23,PAPA HUAMANTANGA,0.85
2015-01-23,PAPA PERUANITA (INJERTO),1.3
2015-01-24,PAPA AMARILLA,1.9
2015-01-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.45
2015-01-24,PAPA HUAMANTANGA,0.96
2015-01-24,PAPA PERUANITA (INJERTO),1.45
2015-01-25,PAPA AMARILLA,1.7
2015-01-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.33
2015-01-25,PAPA HUAMANTANGA,0.93
2015-01-25,PAPA PERUANITA (INJERTO),1.4
2015-01-26,PAPA AMARILLA,1.55
2015-01-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.3
2015-01-26,PAPA HUAMANTANGA,0.91
2015-01-26,PAPA PERUANITA (INJERTO),1.5
2015-01-27,PAPA AMARILLA,1.65
2015-01-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.35
2015-01-27,PAPA HUAMANTANGA,0.93
2015-01-27,PAPA PERUANITA (INJERTO),1.53
2015-01-28,PAPA AMARILLA,1.6
2015-01-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2015-01-28,PAPA HUAMANTANGA,1.0
2015-01-28,PAPA PERUANITA (INJERTO),1.65
2015-01-29,PAPA AMARILLA,1.45
2015-01-29,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2015-01-29,PAPA HUAMANTANGA,1.0
2015-01-29,PAPA PERUANITA (INJERTO),1.65
2015-01-30,PAPA AMARILLA,1.65
2015-01-30,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2015-01-30,PAPA HUAMANTANGA,1.1
2015-01-30,PAPA PERUANITA (INJERTO),1.55
2015-01-31,PAPA AMARILLA,1.6
2015-01-31,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2015-01-31,PAPA HUAMANTANGA,1.0
2015-01-31,PAPA PERUANITA (INJERTO),1.35
2015-02-01,PAPA AMARILLA,1.65
2015-02-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2015-02-01,PAPA HUAMANTANGA,1.05
2015-02-01,PAPA PERUANITA (INJERTO),1.23
2015-02-02,PAPA AMARILLA,1.63
2015-02-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2015-02-02,PAPA HUAMANTANGA,1.05
2015-02-02,PAPA PERUANITA (INJERTO),1.35
2015-02-03,PAPA AMARILLA,1.58
2015-02-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.09
2015-02-03,PAPA HUAMANTANGA,1.05
2015-02-03,PAPA PERUANITA (INJERTO),1.38
2015-02-04,PAPA AMARILLA,1.5
2015-02-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2015-02-04,PAPA HUAMANTANGA,1.05
2015-02-04,PAPA PERUANITA (INJERTO),1.29
2015-02-05,PAPA AMARILLA,1.4
2015-02-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2015-02-05,PAPA HUAMANTANGA,0.93
2015-02-05,PAPA PERUANITA (INJERTO),1.2
2015-02-06,PAPA AMARILLA,1.55
2015-02-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2015-02-06,PAPA HUAMANTANGA,1.05
2015-02-06,PAPA PERUANITA (INJERTO),1.3
2015-02-07,PAPA AMARILLA,1.5
2015-02-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2015-02-07,PAPA HUAMANTANGA,1.03
2015-02-07,PAPA PERUANITA (INJERTO),1.3
2015-02-08,PAPA AMARILLA,1.53
2015-02-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.13
2015-02-08,PAPA HUAMANTANGA,1.05
2015-02-08,PAPA PERUANITA (INJERTO),1.25
2015-02-09,PAPA AMARILLA,1.55
2015-02-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2015-02-09,PAPA HUAMANTANGA,1.05
2015-02-09,PAPA PERUANITA (INJERTO),1.2
2015-02-10,PAPA AMARILLA,1.45
2015-02-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2015-02-10,PAPA HUAMANTANGA,1.03
2015-02-10,PAPA PERUANITA (INJERTO),1.05
2015-02-11,PAPA AMARILLA,1.35
2015-02-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.11
2015-02-11,PAPA HUAMANTANGA,0.94
2015-02-11,PAPA PERUANITA (INJERTO),1.11
2015-02-12,PAPA AMARILLA,1.45
2015-02-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2015-02-12,PAPA HUAMANTANGA,1.04
2015-02-12,PAPA PERUANITA (INJERTO),1.1
2015-02-13,PAPA AMARILLA,1.35
2015-02-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.13
2015-02-13,PAPA HUAMANTANGA,1.06
2015-02-13,PAPA PERUANITA (INJERTO),1.11
2015-02-14,PAPA AMARILLA,1.45
2015-02-14,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.11
2015-02-14,PAPA HUAMANTANGA,1.06
2015-02-14,PAPA PERUANITA (INJERTO),1.08
2015-02-15,PAPA AMARILLA,1.44
2015-02-15,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2015-02-15,PAPA HUAMANTANGA,1.06
2015-02-15,PAPA PERUANITA (INJERTO),1.05
2015-02-16,PAPA AMARILLA,1.45
2015-02-16,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2015-02-16,PAPA HUAMANTANGA,1.01
2015-02-16,PAPA PERUANITA (INJERTO),1.1
2015-02-17,PAPA AMARILLA,1.55
2015-02-17,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2015-02-17,PAPA HUAMANTANGA,1.0
2015-02-17,PAPA PERUANITA (INJERTO),1.45
2015-02-18,PAPA AMARILLA,1.65
2015-02-18,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2015-02-18,PAPA HUAMANTANGA,1.1
2015-02-18,PAPA PERUANITA (INJERTO),1.45
2015-02-19,PAPA AMARILLA,1.65
2015-02-19,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2015-02-19,PAPA HUAMANTANGA,1.1
2015-02-19,PAPA PERUANITA (INJERTO),1.65
2015-02-20,PAPA AMARILLA,1.65
2015-02-20,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.13
2015-02-20,PAPA HUAMANTANGA,1.1
2015-02-20,PAPA PERUANITA (INJERTO),1.59
2015-02-21,PAPA AMARILLA,1.55
2015-02-21,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.93
2015-02-21,PAPA HUAMANTANGA,1.09
2015-02-21,PAPA PERUANITA (INJERTO),1.45
2015-02-22,PAPA AMARILLA,1.55
2015-02-22,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2015-02-22,PAPA HUAMANTANGA,1.07
2015-02-22,PAPA PERUANITA (INJERTO),1.45
2015-02-23,PAPA AMARILLA,1.55
2015-02-23,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2015-02-23,PAPA HUAMANTANGA,1.04
2015-02-23,PAPA PERUANITA (INJERTO),1.45
2015-02-24,PAPA AMARILLA,1.5
2015-02-24,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,0.95
2015-02-24,PAPA HUAMANTANGA,1.1
2015-02-24,PAPA PERUANITA (INJERTO),1.3
2015-02-25,PAPA AMARILLA,1.45
2015-02-25,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2015-02-25,PAPA HUAMANTANGA,1.05
2015-02-25,PAPA PERUANITA (INJERTO),1.34
2015-02-26,PAPA AMARILLA,1.55
2015-02-26,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.13
2015-02-26,PAPA HUAMANTANGA,1.1
2015-02-26,PAPA PERUANITA (INJERTO),1.34
2015-02-27,PAPA AMARILLA,1.55
2015-02-27,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.01
2015-02-27,PAPA HUAMANTANGA,1.1
2015-02-27,PAPA PERUANITA (INJERTO),1.38
2015-02-28,PAPA AMARILLA,1.65
2015-02-28,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.01
2015-02-28,PAPA HUAMANTANGA,1.06
2015-02-28,PAPA PERUANITA (INJERTO),1.25
2015-03-01,PAPA AMARILLA,1.63
2015-03-01,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2015-03-01,PAPA HUAMANTANGA,1.03
2015-03-01,PAPA PERUANITA (INJERTO),1.23
2015-03-02,PAPA AMARILLA,1.58
2015-03-02,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.11
2015-03-02,PAPA HUAMANTANGA,1.01
2015-03-02,PAPA PERUANITA (INJERTO),1.21
2015-03-03,PAPA AMARILLA,1.55
2015-03-03,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2015-03-03,PAPA HUAMANTANGA,1.13
2015-03-03,PAPA PERUANITA (INJERTO),1.31
2015-03-04,PAPA AMARILLA,1.55
2015-03-04,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.2
2015-03-04,PAPA HUAMANTANGA,1.11
2015-03-04,PAPA PERUANITA (INJERTO),1.3
2015-03-05,PAPA AMARILLA,1.63
2015-03-05,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2015-03-05,PAPA HUAMANTANGA,1.15
2015-03-05,PAPA PERUANITA (INJERTO),1.21
2015-03-06,PAPA AMARILLA,1.55
2015-03-06,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2015-03-06,PAPA HUAMANTANGA,1.1
2015-03-06,PAPA PERUANITA (INJERTO),1.21
2015-03-07,PAPA AMARILLA,1.55
2015-03-07,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.16
2015-03-07,PAPA HUAMANTANGA,1.15
2015-03-07,PAPA PERUANITA (INJERTO),1.21
2015-03-08,PAPA AMARILLA,1.5
2015-03-08,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.1
2015-03-08,PAPA HUAMANTANGA,1.13
2015-03-08,PAPA PERUANITA (INJERTO),1.2
2015-03-09,PAPA AMARILLA,1.45
2015-03-09,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2015-03-09,PAPA HUAMANTANGA,1.1
2015-03-09,PAPA PERUANITA (INJERTO),1.21
2015-03-10,PAPA AMARILLA,1.35
2015-03-10,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.03
2015-03-10,PAPA HUAMANTANGA,1.08
2015-03-10,PAPA PERUANITA (INJERTO),1.11
2015-03-11,PAPA AMARILLA,1.45
2015-03-11,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.08
2015-03-11,PAPA HUAMANTANGA,1.06
2015-03-11,PAPA PERUANITA (INJERTO),1.2
2015-03-12,PAPA AMARILLA,1.45
2015-03-12,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.15
2015-03-12,PAPA HUAMANTANGA,1.11
2015-03-12,PAPA PERUANITA (INJERTO),1.31
2015-03-13,PAPA AMARILLA,1.55
2015-03-13,PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,1.05
2015-03-13,PAPA HUAMANTANGA,1.03
2015-03-13,PAPA PERUANITA (INJERTO),1.25
2015-03-14,PAPA AMARILLA,1.55
