date,cantidad (TM)
2015-01-01,0
2015-01-02,5
2015-01-03,24
2015-01-04,89
2015-01-05,23
2015-01-06,78
2015-01-07,22
2015-01-08,47
2015-01-09,91
2015-01-10,187
2015-01-11,8
2015-01-12,4
2015-01-13,132
2015-01-14,186
2015-01-15,101
2015-01-16,61
2015-01-17,58
2015-01-18,106
2015-01-19,0
2015-01-20,143
2015-01-21,48
2015-01-22,19
2015-01-23,75
2015-01-24,108
2015-01-25,125
2015-01-26,1
2015-01-27,72
2015-01-28,31
2015-01-29,82
2015-01-30,127
2015-01-31,44
2015-02-01,55
2015-02-02,2
2015-02-03,67
2015-02-04,80
2015-02-05,77
2015-02-06,103
2015-02-07,74
2015-02-08,65
2015-02-09,0
2015-02-10,24
2015-02-11,4
2015-02-12,46
2015-02-13,41
2015-02-14,82
2015-02-15,43
2015-02-16,16
2015-02-17,77
2015-02-18,38
2015-02-19,49
2015-02-20,45
2015-02-21,158
2015-02-22,33
2015-02-23,1
2015-02-24,59
2015-02-25,40
2015-02-26,10
2015-02-27,45
2015-02-28,54
2015-03-01,52
2015-03-02,0
2015-03-03,49
2015-03-04,67
2015-03-05,105
2015-03-06,107
2015-03-07,100
2015-03-08,6
2015-03-09,19
2015-03-10,37
2015-03-11,52
2015-03-12,63
2015-03-13,90
2015-03-14,31
2015-03-15,58
2015-03-16,21
2015-03-17,97
2015-03-18,55
2015-03-19,60
2015-03-20,78
2015-03-21,132
2015-03-22,33
2015-03-23,0
2015-03-24,0
2015-03-25,99
2015-03-26,131
2015-03-27,150
2015-03-28,77
2015-03-29,87
2015-03-30,44
2015-03-31,127
2015-04-01,23
2015-04-02,141
2015-04-03,36
2015-04-04,149
2015-04-05,10
2015-04-06,0
2015-04-07,111
2015-04-08,67
2015-04-09,83
2015-04-10,91
2015-04-11,61
2015-04-12,62
2015-04-13,16
2015-04-14,148
2015-04-15,15
2015-04-16,90
2015-04-17,21
2015-04-18,130
2015-04-19,3
2015-04-20,0
2015-04-21,47
2015-04-22,130
2015-04-23,107
2015-04-24,67
2015-04-25,55
2015-04-26,16
2015-04-27,13
2015-04-28,105
2015-04-29,0
2015-04-30,154
2015-05-01,116
2015-05-02,41
2015-05-03,44
2015-05-04,51
2015-05-05,78
2015-05-06,68
2015-05-07,0
2015-05-08,45
2015-05-09,118
2015-05-10,16
2015-05-11,8
2015-05-12,84
2015-05-13,21
2015-05-14,60
2015-05-15,34
2015-05-16,30
2015-05-17,130
2015-05-18,49
2015-05-19,89
2015-05-20,65
2015-05-21,40
2015-05-22,135
2015-05-23,10
2015-05-24,77
2015-05-25,0
2015-05-26,62
2015-05-27,43
2015-05-28,25
2015-05-29,53
2015-05-30,77
2015-05-31,38
2015-06-01,29
2015-06-02,0
2015-06-03,19
2015-06-04,31
2015-06-05,76
2015-06-06,93
2015-06-07,106
2015-06-08,0
2015-06-09,89
2015-06-10,72
2015-06-11,12
2015-06-12,46
2015-06-13,114
2015-06-14,74
2015-06-15,21
2015-06-16,50
2015-06-17,48
2015-06-18,101
2015-06-19,40
2015-06-20,79
2015-06-21,30
2015-06-22,52
2015-06-23,97
2015-06-24,48
2015-06-25,136
2015-06-26,130
2015-06-27,183
2015-06-28,35
2015-06-29,21
2015-06-30,85
2015-07-01,15
2015-07-02,62
2015-07-03,138
2015-07-04,55
2015-07-05,69
2015-07-06,37
2015-07-07,78
2015-07-08,45
2015-07-09,117
2015-07-10,88
2015-07-11,96
2015-07-12,38
2015-07-13,15
2015-07-14,21
2015-07-15,80
2015-07-16,85
2015-07-17,96
2015-07-18,66
2015-07-19,61
2015-07-20,41
2015-07-21,118
2015-07-22,7
2015-07-23,86
2015-07-24,209
2015-07-25,58
2015-07-26,0
2015-07-27,22
2015-07-28,41
2015-07-29,0
2015-07-30,35
2015-07-31,119
2015-08-01,68
2015-08-02,123
2015-08-03,14
2015-08-04,126
2015-08-05,3
2015-08-06,109
2015-08-07,103
2015-08-08,44
2015-08-09,125
2015-08-10,39
2015-08-11,67
2015-08-12,30
2015-08-13,125
2015-08-14,15
2015-08-15,13
2015-08-16,21
2015-08-17,15
2015-08-18,143
2015-08-19,27
2015-08-20,0
2015-08-21,62
2015-08-22,100
2015-08-23,75
2015-08-24,0
2015-08-25,122
2015-08-26,2
2015-08-27,11
2015-08-28,41
2015-08-29,21
2015-08-30,50
2015-08-31,27
2015-09-01,55
2015-09-02,17
2015-09-03,27
2015-09-04,20
2015-09-05,13
2015-09-06,32
2015-09-07,30
2015-09-08,72
2015-09-09,0
2015-09-10,200
2015-09-11,25
2015-09-12,20
2015-09-13,1
2015-09-14,49
2015-09-15,84
2015-09-16,13
2015-09-17,30
2015-09-18,80
2015-09-19,39
2015-09-20,17
2015-09-21,11
2015-09-22,33
2015-09-23,30
2015-09-24,68
2015-09-25,81
2015-09-26,74
2015-09-27,17
2015-09-28,0
2015-09-29,25
2015-09-30,96
2015-10-01,20
2015-10-02,56
2015-10-03,138
2015-10-04,62
2015-10-05,15
2015-10-06,18
2015-10-07,37
2015-10-08,100
2015-10-09,26
2015-10-10,43
2015-10-11,68
2015-10-12,0
2015-10-13,44
2015-10-14,72
2015-10-15,94
2015-10-16,188
2015-10-17,0
2015-10-18,39
2015-10-19,19
2015-10-20,94
2015-10-21,5
2015-10-22,0
2015-10-23,62
2015-10-24,104
2015-10-25,17
2015-10-26,15
2015-10-27,115
2015-10-28,36
2015-10-29,13
2015-10-30,0
2015-10-31,83
2015-11-01,9
2015-11-02,0
2015-11-03,67
2015-11-04,49
2015-11-05,64
2015-11-06,114
2015-11-07,80
2015-11-08,48
2015-11-09,17
2015-11-10,58
2015-11-11,68
2015-11-12,13
2015-11-13,41
2015-11-14,69
2015-11-15,14
2015-11-16,54
2015-11-17,80
2015-11-18,46
2015-11-19,44
2015-11-20,78
2015-11-21,84
2015-11-22,1
2015-11-23,0
2015-11-24,51
2015-11-25,58
2015-11-26,89
2015-11-27,142
2015-11-28,109
2015-11-29,98
2015-11-30,243
2015-12-01,247
2015-12-02,45
2015-12-03,37
2015-12-04,116
2015-12-05,251
2015-12-06,73
2015-12-07,50
2015-12-08,76
2015-12-09,58
2015-12-10,176
2015-12-11,355
2015-12-12,37
2015-12-13,140
2015-12-14,38
2015-12-15,267
2015-12-16,141
2015-12-17,105
2015-12-18,274
2015-12-19,196
2015-12-20,47
2015-12-21,43
2015-12-22,212
2015-12-23,133
2015-12-24,66
2015-12-25,211
2015-12-26,44
2015-12-27,167
2015-12-28,45
2015-12-29,180
2015-12-30,232
2015-12-31,472
2016-01-01,43
2016-01-02,205
2016-01-03,115
2016-01-04,167
2016-01-05,167
2016-01-06,161
2016-01-07,240
2016-01-08,156
2016-01-09,59
2016-01-10,58
2016-01-11,150
2016-01-12,85
2016-01-13,95
2016-01-14,48
2016-01-15,238
2016-01-16,60
2016-01-17,20
2016-01-18,183
2016-01-19,94
2016-01-20,47
2016-01-21,35
2016-01-22,295
2016-01-23,131
2016-01-24,37
2016-01-25,151
2016-01-26,88
2016-01-27,203
2016-01-28,127
2016-01-29,158
2016-01-30,47
2016-01-31,87
2016-02-01,127
2016-02-02,95
2016-02-03,124
2016-02-04,125
2016-02-05,153
2016-02-06,198
2016-02-07,34
2016-02-08,208
2016-02-09,87
2016-02-10,178
2016-02-11,89
2016-02-12,136
2016-02-13,272
2016-02-14,65
2016-02-15,187
2016-02-16,213
2016-02-17,207
2016-02-18,337
2016-02-19,326
2016-02-20,218
2016-02-21,99
2016-02-22,326
2016-02-23,202
2016-02-24,47
2016-02-25,121
2016-02-26,119
2016-02-27,158
2016-02-28,282
2016-02-29,73
2016-03-01,13
2016-03-02,142
2016-03-03,119
2016-03-04,260
2016-03-05,243
2016-03-06,262
2016-03-07,91
2016-03-08,212
2016-03-09,112
2016-03-10,165
2016-03-11,147
2016-03-12,421
2016-03-13,59
2016-03-14,119
2016-03-15,246
2016-03-16,202
2016-03-17,246
2016-03-18,135
2016-03-19,213
2016-03-20,138
2016-03-21,3
2016-03-22,179
2016-03-23,140
2016-03-24,289
2016-03-25,97
2016-03-26,138
2016-03-27,191
2016-03-28,132
2016-03-29,220
2016-03-30,146
2016-03-31,194
2016-04-01,5
2016-04-02,129
2016-04-03,212
2016-04-04,90
2016-04-05,248
2016-04-06,107
2016-04-07,97
2016-04-08,271
2016-04-09,194
2016-04-10,77
2016-04-11,19
2016-04-12,279
2016-04-13,100
2016-04-14,118
2016-04-15,182
2016-04-16,372
2016-04-17,92
2016-04-18,18
2016-04-19,193
2016-04-20,97
2016-04-21,74
2016-04-22,100
2016-04-23,97
2016-04-24,62
2016-04-25,13
2016-04-26,120
2016-04-27,61
2016-04-28,240
2016-04-29,100
2016-04-30,132
2016-05-01,0
2016-05-02,18
2016-05-03,95
2016-05-04,73
2016-05-05,65
2016-05-06,291
2016-05-07,229
2016-05-08,134
2016-05-09,0
2016-05-10,207
2016-05-11,61
2016-05-12,73
2016-05-13,95
2016-05-14,153
2016-05-15,89
2016-05-16,27
2016-05-17,156
2016-05-18,86
2016-05-19,90
2016-05-20,192
2016-05-21,276
2016-05-22,210
2016-05-23,24
2016-05-24,226
2016-05-25,96
2016-05-26,148
2016-05-27,251
2016-05-28,89
2016-05-29,111
2016-05-30,24
2016-05-31,376
2016-06-01,0
2016-06-02,81
2016-06-03,226
2016-06-04,213
2016-06-05,11
2016-06-06,0
2016-06-07,187
2016-06-08,97
2016-06-09,99
2016-06-10,207
2016-06-11,164
2016-06-12,115
2016-06-13,15
2016-06-14,121
2016-06-15,86
2016-06-16,182
2016-06-17,140
2016-06-18,124
2016-06-19,79
2016-06-20,14
2016-06-21,104
2016-06-22,67
2016-06-23,139
2016-06-24,171
2016-06-25,142
2016-06-26,136
2016-06-27,0
2016-06-28,125
2016-06-29,65
2016-06-30,185
2016-07-01,31
2016-07-02,155
2016-07-03,125
2016-07-04,30
2016-07-05,303
2016-07-06,49
2016-07-07,106
2016-07-08,189
2016-07-09,161
2016-07-10,186
2016-07-11,17
2016-07-12,173
2016-07-13,112
2016-07-14,178
2016-07-15,88
2016-07-16,71
2016-07-17,69
2016-07-18,79
2016-07-19,126
2016-07-20,23
2016-07-21,153
2016-07-22,204
2016-07-23,269
2016-07-24,43
2016-07-25,63
2016-07-26,212
2016-07-27,22
2016-07-28,129
2016-07-29,140
2016-07-30,211
2016-07-31,130
