date,cantidad (TM)
2020-01-01,85
2020-01-02,412
2020-01-03,1970
2020-01-04,2355
2020-01-05,1928
2020-01-06,1035
2020-01-07,2964
2020-01-08,1759
2020-01-09,1730
2020-01-10,2084
2020-01-11,2285
2020-01-12,1710
2020-01-13,695
2020-01-14,2343
2020-01-15,1143
2020-01-16,1642
2020-01-17,992
2020-01-18,1903
2020-01-19,1818
2020-01-20,571
2020-01-21,1858
2020-01-22,1461
2020-01-23,2499
2020-01-24,2097
2020-01-25,2285
2020-01-26,1205
2020-01-27,352
2020-01-28,2386
2020-01-29,1262
2020-01-30,1849
2020-01-31,2157
2020-02-01,1920
2020-02-02,1785
2020-02-03,604
2020-02-04,1775
2020-02-05,879
2020-02-06,1589
2020-02-07,1896
2020-02-08,2039
2020-02-09,1815
2020-02-10,660
2020-02-11,1932
2020-02-12,1242
2020-02-13,2043
2020-02-14,2181
2020-02-15,2533
2020-02-16,1603
2020-02-17,660
2020-02-18,2273
2020-02-19,1355
2020-02-20,1776
2020-02-21,2007
2020-02-22,2555
2020-02-23,1661
2020-02-24,511
2020-02-25,2261
2020-02-26,1094
2020-02-27,1361
2020-02-28,1317
2020-02-29,1904
2020-03-01,1633
2020-03-02,534
2020-03-03,1920
2020-03-04,1787
2020-03-05,2473
2020-03-06,2101
2020-03-07,2462
2020-03-08,1824
2020-03-09,844
2020-03-10,2727
2020-03-11,1581
2020-03-12,1506
2020-03-13,1894
2020-03-14,2190
2020-03-15,1394
2020-03-16,449
2020-03-17,3010
2020-03-18,1756
2020-03-19,2149
2020-03-20,1639
2020-03-21,1410
2020-03-22,1063
2020-03-23,529
2020-03-24,2463
2020-03-25,893
2020-03-26,1596
2020-03-27,1215
2020-03-28,1511
2020-03-29,1156
2020-03-30,471
2020-03-31,2905
2020-04-01,1290
2020-04-02,1239
2020-04-03,1292
2020-04-04,2312
2020-04-05,175
2020-04-06,598
2020-04-07,2272
2020-04-08,2455
2020-04-09,353
2020-04-10,66
2020-04-11,2712
2020-04-12,161
2020-04-13,1751
2020-04-14,3002
2020-04-15,2285
2020-04-16,2319
2020-04-17,2378
2020-04-18,2862
2020-04-19,226
2020-04-20,1379
2020-04-21,2623
2020-04-22,1156
2020-04-23,1269
2020-04-24,1744
2020-04-25,1537
2020-04-26,222
2020-04-27,1150
2020-04-28,2627
2020-04-29,1699
2020-04-30,1903
2020-05-01,1845
2020-05-02,1775
2020-05-03,277
2020-05-04,804
2020-05-05,1891
2020-05-06,1396
2020-05-07,1583
2020-05-08,1892
2020-05-09,1794
2020-05-10,207
2020-05-11,955
2020-05-12,2091
2020-05-13,1658
2020-05-14,2303
2020-05-15,2239
2020-05-16,2215
2020-05-17,246
2020-05-18,960
2020-05-19,2165
2020-05-20,1518
2020-05-21,1944
2020-05-22,2108
2020-05-23,1754
2020-05-24,10
2020-05-25,1035
2020-05-26,2358
2020-05-27,2091
2020-05-28,915
2020-05-29,966
2020-05-30,1008
2020-05-31,77
2020-06-01,654
2020-06-02,1485
2020-06-03,1223
2020-06-04,1895
2020-06-05,2666
2020-06-06,1965
2020-06-07,274
2020-06-08,1160
2020-06-09,2110
2020-06-10,1424
2020-06-11,1730
2020-06-12,2421
2020-06-13,1818
2020-06-14,345
2020-06-15,696
2020-06-16,2119
2020-06-17,1294
2020-06-18,2043
2020-06-19,2332
2020-06-20,2018
2020-06-21,212
2020-06-22,709
2020-06-23,2246
2020-06-24,1382
2020-06-25,2089
2020-06-26,2066
2020-06-27,1562
2020-06-28,209
2020-06-29,973
2020-06-30,1737
2020-07-01,1456
2020-07-02,1702
2020-07-03,2130
2020-07-04,1702
2020-07-05,624
2020-07-06,832
2020-07-07,1834
2020-07-08,1656
2020-07-09,2149
2020-07-10,2245
2020-07-11,1651
2020-07-12,1138
2020-07-13,701
2020-07-14,1881
2020-07-15,1313
2020-07-16,1926
2020-07-17,2109
2020-07-18,2251
2020-07-19,1074
2020-07-20,589
2020-07-21,2140
2020-07-22,1676
2020-07-23,1958
2020-07-24,1715
2020-07-25,1663
2020-07-26,1366
2020-07-27,805
2020-07-28,1794
2020-07-29,1455
2020-07-30,2004
2020-07-31,2235
2020-08-01,1455
2020-08-02,1248
2020-08-03,478
2020-08-04,2213
2020-08-05,1673
2020-08-06,2197
2020-08-07,2415
2020-08-08,1931
2020-08-09,1317
2020-08-10,488
2020-08-11,2076
2020-08-12,1691
2020-08-13,1736
2020-08-14,2174
2020-08-15,2090
2020-08-16,342
2020-08-17,834
2020-08-18,1796
2020-08-19,1572
2020-08-20,2358
2020-08-21,2296
2020-08-22,2050
2020-08-23,351
2020-08-24,834
2020-08-25,1917
2020-08-26,1562
2020-08-27,2144
2020-08-28,2074
2020-08-29,1648
2020-08-30,245
2020-08-31,751
2020-09-01,877
2020-09-02,1498
2020-09-03,2274
2020-09-04,1949
2020-09-05,1609
2020-09-06,410
2020-09-07,982
2020-09-08,1934
2020-09-09,1240
2020-09-10,2282
2020-09-11,1926
2020-09-12,2210
2020-09-13,375
2020-09-14,761
2020-09-15,2171
2020-09-16,1486
2020-09-17,1949
2020-09-18,2112
2020-09-19,1407
2020-09-20,783
2020-09-21,695
2020-09-22,2354
2020-09-23,1328
2020-09-24,1929
2020-09-25,2182
2020-09-26,2272
2020-09-27,939
2020-09-28,484
2020-09-29,1272
2020-09-30,1471
2020-10-01,1708
2020-10-02,2116
2020-10-03,1742
2020-10-04,1013
2020-10-05,396
2020-10-06,2184
2020-10-07,1503
2020-10-08,2338
2020-10-09,2077
2020-10-10,2046
2020-10-11,1201
2020-10-12,538
2020-10-13,1758
2020-10-14,1597
2020-10-15,2095
2020-10-16,2027
2020-10-17,1681
2020-10-18,947
2020-10-19,303
2020-10-20,2276
2020-10-21,1305
2020-10-22,2361
2020-10-23,2219
2020-10-24,1730
2020-10-25,1308
2020-10-26,711
2020-10-27,1846
2020-10-28,1608
2020-10-29,1346
2020-10-30,1923
2020-10-31,1423
2020-11-01,607
2020-11-02,284
2020-11-03,1998
2020-11-04,1381
2020-11-05,1964
2020-11-06,2246
2020-11-07,2434
2020-11-08,1501
2020-11-09,608
2020-11-10,2368
2020-11-11,1478
2020-11-12,1912
2020-11-13,1797
2020-11-14,1574
2020-11-15,1159
2020-11-16,204
2020-11-17,2232
2020-11-18,1357
2020-11-19,2430
