index,precio
2015-01-01,0.0
2015-01-02,52.69
2015-01-03,52.69
2015-01-04,52.69
2015-01-05,50.04
2015-01-06,47.93
2015-01-07,48.65
2015-01-08,48.79
2015-01-09,48.36
2015-01-10,48.36
2015-01-11,48.36
2015-01-12,46.07
2015-01-13,45.89
2015-01-14,48.48
2015-01-15,46.25
2015-01-16,48.69
2015-01-17,48.69
2015-01-18,48.69
2015-01-19,48.69
2015-01-20,46.39
2015-01-21,47.28
2015-01-22,45.99
2015-01-23,45.22
2015-01-24,45.22
2015-01-25,45.22
2015-01-26,45.15
2015-01-27,46.23
2015-01-28,44.45
2015-01-29,44.53
2015-01-30,48.24
2015-01-31,48.24
2015-02-01,48.24
2015-02-02,49.57
2015-02-03,53.05
2015-02-04,48.45
2015-02-05,50.48
2015-02-06,51.69
2015-02-07,51.69
2015-02-08,51.69
2015-02-09,52.86
2015-02-10,50.02
2015-02-11,48.84
2015-02-12,51.21
2015-02-13,52.78
2015-02-14,52.78
2015-02-15,52.78
2015-02-16,52.78
2015-02-17,53.53
2015-02-18,52.14
2015-02-19,51.16
2015-02-20,50.34
2015-02-21,50.34
2015-02-22,50.34
2015-02-23,48.55
2015-02-24,48.58
2015-02-25,50.39
2015-02-26,48.17
2015-02-27,49.76
2015-02-28,49.76
2015-03-01,49.76
2015-03-02,49.59
2015-03-03,50.52
2015-03-04,51.53
2015-03-05,50.76
2015-03-06,49.61
2015-03-07,49.61
2015-03-08,49.61
2015-03-09,50.0
2015-03-10,48.29
2015-03-11,48.17
2015-03-12,47.05
2015-03-13,44.84
2015-03-14,44.84
2015-03-15,44.84
2015-03-16,43.88
2015-03-17,43.46
2015-03-18,44.66
2015-03-19,43.96
2015-03-20,45.72
2015-03-21,45.72
2015-03-22,45.72
2015-03-23,46.85
2015-03-24,47.11
2015-03-25,48.66
2015-03-26,51.43
2015-03-27,48.87
2015-03-28,48.87
2015-03-29,48.87
2015-03-30,48.68
2015-03-31,47.6
2015-04-01,47.68
2015-04-02,49.14
2015-04-03,49.14
2015-04-04,49.14
2015-04-05,49.14
2015-04-06,52.14
2015-04-07,53.98
2015-04-08,50.42
2015-04-09,50.79
2015-04-10,51.64
2015-04-11,51.64
2015-04-12,51.64
2015-04-13,51.91
2015-04-14,53.29
2015-04-15,56.39
2015-04-16,56.71
2015-04-17,55.74
2015-04-18,55.74
2015-04-19,55.74
2015-04-20,56.38
2015-04-21,55.26
2015-04-22,55.06
2015-04-23,56.59
2015-04-24,55.55
2015-04-25,55.55
2015-04-26,55.55
2015-04-27,56.99
2015-04-28,57.06
2015-04-29,58.58
2015-04-30,59.63
2015-05-01,59.15
2015-05-02,59.15
2015-05-03,59.15
2015-05-04,58.93
2015-05-05,60.94
2015-05-06,60.93
2015-05-07,58.94
2015-05-08,59.39
2015-05-09,59.39
2015-05-10,59.39
2015-05-11,59.25
2015-05-12,60.75
2015-05-13,60.5
2015-05-14,59.88
2015-05-15,59.69
2015-05-16,59.69
2015-05-17,59.69
