"","PD04705XD"
"","Cotizaciones internacionales - Petróleo (West Texas Intermediate, US$ por barriles)"
02Ene97,25.69
03Ene97,25.59
06Ene97,26.24
07Ene97,26.23
08Ene97,26.62
09Ene97,26.37
10Ene97,26.09
13Ene97,25.19
14Ene97,25.11
15Ene97,25.95
16Ene97,25.52
17Ene97,25.41
20Ene97,25.23
21Ene97,24.8
22Ene97,24.29
23Ene97,23.93
24Ene97,24.1
27Ene97,23.94
28Ene97,23.9
29Ene97,24.47
30Ene97,24.87
31Ene97,24.15
03Feb97,24.15
04Feb97,24.02
05Feb97,23.91
06Feb97,23.1
07Feb97,22.23
10Feb97,22.46
11Feb97,22.42
12Feb97,21.86
13Feb97,22.02
14Feb97,22.41
17Feb97,n.d.
18Feb97,22.52
19Feb97,22.79
20Feb97,21.98
21Feb97,21.64
24Feb97,20.93
25Feb97,20.9
26Feb97,21.11
27Feb97,20.89
28Feb97,20.3
03Mar97,20.25
04Mar97,20.66
05Mar97,20.49
06Mar97,20.94
07Mar97,21.28
10Mar97,20.49
11Mar97,20.11
12Mar97,20.61
13Mar97,20.7
14Mar97,21.29
17Mar97,20.92
18Mar97,22.06
19Mar97,22.04
20Mar97,22.32
21Mar97,21.69
24Mar97,21.06
25Mar97,20.93
26Mar97,20.64
27Mar97,20.7
28Mar97,n.d.
31Mar97,20.41
01Abr97,20.28
02Abr97,19.47
03Abr97,19.47
04Abr97,19.12
07Abr97,19.23
08Abr97,19.35
09Abr97,19.27
10Abr97,19.57
11Abr97,19.61
14Abr97,19.9
15Abr97,19.83
16Abr97,19.35
17Abr97,19.42
18Abr97,19.91
21Abr97,20.38
22Abr97,19.6
23Abr97,19.73
24Abr97,19.83
25Abr97,19.82
28Abr97,19.91
29Abr97,20.44
30Abr97,20.21
01May97,19.91
02May97,19.6
05May97,19.63
06May97,19.66
07May97,19.62
08May97,20.35
09May97,20.43
12May97,21.38
13May97,21.37
14May97,21.39
15May97,21.3
16May97,22.12
19May97,21.59
20May97,21.19
21May97,21.66
22May97,21.51
23May97,21.23
26May97,n.d.
27May97,20.79
28May97,20.79
29May97,20.97
30May97,20.88
02Jun97,20.98
03Jun97,20.33
04Jun97,20.12
05Jun97,19.66
06Jun97,18.79
09Jun97,18.68
10Jun97,18.67
11Jun97,18.53
12Jun97,18.69
13Jun97,18.83
16Jun97,19.01
17Jun97,19.23
18Jun97,18.79
19Jun97,18.67
20Jun97,18.55
23Jun97,18.84
24Jun97,18.68
25Jun97,19.17
26Jun97,19.09
27Jun97,19.46
30Jun97,19.8
01Jul97,20.12
02Jul97,20.34
03Jul97,19.56
04Jul97,n.d.
07Jul97,19.52
08Jul97,19.73
09Jul97,19.46
10Jul97,19.22
11Jul97,19.33
14Jul97,18.99
15Jul97,19.67
16Jul97,19.65
17Jul97,19.99
18Jul97,19.27
21Jul97,19.18
22Jul97,19.08
23Jul97,19.35
24Jul97,19.53
25Jul97,19.69
28Jul97,19.81
29Jul97,19.85
30Jul97,20.3
31Jul97,20.14
01Ago97,20.28
04Ago97,20.75
05Ago97,20.81
06Ago97,20.46
07Ago97,20.09
08Ago97,19.54
11Ago97,19.69
12Ago97,19.99
13Ago97,20.19
14Ago97,20.08
15Ago97,20.07
18Ago97,19.91
19Ago97,20.12
20Ago97,20.06
21Ago97,19.45
22Ago97,19.52
25Ago97,19.11
26Ago97,19.28
27Ago97,19.73
28Ago97,19.58
29Ago97,19.61
01Set97,n.d.
02Set97,19.65
03Set97,19.61
04Set97,19.4
05Set97,19.63
08Set97,19.45
09Set97,19.42
10Set97,19.42
11Set97,19.53
12Set97,19.32
15Set97,19.27
16Set97,19.61
17Set97,19.42
18Set97,19.38
19Set97,19.35
22Set97,19.6
23Set97,19.79
24Set97,19.82
25Set97,20.25
26Set97,20.87
29Set97,21.26
30Set97,21.18
01Oct97,21.05
02Oct97,21.77
03Oct97,22.76
06Oct97,21.93
07Oct97,21.96
08Oct97,22.18
09Oct97,22.12
10Oct97,22.1
13Oct97,21.32
14Oct97,20.7
15Oct97,20.57
16Oct97,20.97
17Oct97,20.59
20Oct97,20.7
21Oct97,20.67
22Oct97,21.24
23Oct97,20.84
24Oct97,20.79
27Oct97,21.07
28Oct97,20.46
29Oct97,20.71
30Oct97,21.22
31Oct97,21.08
03Nov97,20.96
04Nov97,20.7
05Nov97,20.31
06Nov97,20.39
07Nov97,20.77
10Nov97,20.4
11Nov97,20.51
12Nov97,20.49
13Nov97,20.7
14Nov97,21
17Nov97,20.26
18Nov97,20.04
19Nov97,19.8
20Nov97,19.16
21Nov97,19.41
24Nov97,19.43
25Nov97,19.33
26Nov97,19.15
27Nov97,19.15
28Nov97,n.d.
01Dic97,18.66
02Dic97,18.76
03Dic97,18.8
04Dic97,18.6
05Dic97,18.71
08Dic97,18.84
09Dic97,18.67
10Dic97,18.14
11Dic97,18.15
12Dic97,18.21
15Dic97,18.17
16Dic97,18.17
17Dic97,18.19
18Dic97,18.52
19Dic97,18.39
22Dic97,18.18
23Dic97,18.19
24Dic97,18.25
25Dic97,n.d.
26Dic97,18.2
29Dic97,17.62
30Dic97,17.6
31Dic97,17.64
01Ene98,n.d.
02Ene98,17.43
05Ene98,16.89
06Ene98,16.91
07Ene98,16.82
08Ene98,16.97
09Ene98,16.63
12Ene98,16.47
13Ene98,16.43
14Ene98,16.45
15Ene98,16.34
16Ene98,16.51
19Ene98,n.d.
20Ene98,16.42
21Ene98,16.18
22Ene98,15.84
23Ene98,15.59
26Ene98,16.82
27Ene98,16.98
28Ene98,17.31
29Ene98,17.82
30Ene98,17.21
02Feb98,17.05
03Feb98,16.5
04Feb98,16.37
05Feb98,16.58
06Feb98,16.7
09Feb98,16.63
10Feb98,16.43
11Feb98,16.15
12Feb98,15.96
13Feb98,16.02
16Feb98,n.d.
17Feb98,15.66
18Feb98,16.25
19Feb98,16.16
20Feb98,16.15
23Feb98,15.18
24Feb98,15.15
25Feb98,15.26
26Feb98,15.41
27Feb98,15.5
02Mar98,15.43
03Mar98,15.36
04Mar98,15.43
05Mar98,15.45
06Mar98,15.03
09Mar98,14.45
10Mar98,14.39
11Mar98,14.31
12Mar98,14.32
13Mar98,13.76
16Mar98,13.4
17Mar98,13.35
18Mar98,14.47
19Mar98,14.39
20Mar98,14.35
23Mar98,16.32
24Mar98,15.74
25Mar98,16.39
26Mar98,16.91
27Mar98,16.84
30Mar98,16.3
31Mar98,15.7
01Abr98,15.63
02Abr98,15.83
03Abr98,n.d.
06Abr98,15.53
07Abr98,15.3
08Abr98,15.63
09Abr98,15.64
10Abr98,n.d.
13Abr98,15.4
14Abr98,15.2
15Abr98,15.54
16Abr98,15.97
17Abr98,15.53
20Abr98,15.48
21Abr98,15.5
22Abr98,14.97
23Abr98,13.11
24Abr98,13.27
27Abr98,15.4
28Abr98,15.83
29Abr98,15.41
30Abr98,15.48
01May98,16.23
04May98,16.05
05May98,15.56
06May98,15.45
07May98,15.31
08May98,15.2
11May98,15.21
12May98,15.26
13May98,14.97
14May98,15.11
15May98,14.52
18May98,14.1
19May98,12.99
20May98,13.37
21May98,14.17
22May98,14.58
25May98,n.d.
26May98,14.87
27May98,15.02
28May98,14.88
29May98,15.23
01Jun98,14.99
02Jun98,14.87
03Jun98,14.84
04Jun98,15.16
05Jun98,15.12
08Jun98,14.58
09Jun98,13.88
10Jun98,13.52
11Jun98,12.8
12Jun98,12.64
15Jun98,11.61
16Jun98,12.03
17Jun98,12.64
18Jun98,11.82
19Jun98,11.89
22Jun98,13.5
23Jun98,14.41
24Jun98,14.54
25Jun98,14.09
26Jun98,14.2
29Jun98,14.15
30Jun98,14.26
01Jul98,14.45
02Jul98,14.57
03Jul98,n.d.
06Jul98,14
07Jul98,13.69
08Jul98,13.92
09Jul98,13.92
10Jul98,13.91
13Jul98,13.94
14Jul98,14.58
15Jul98,14.89
16Jul98,14.54
17Jul98,14.01
20Jul98,13.38
21Jul98,13.85
22Jul98,14.09
23Jul98,13.83
24Jul98,13.79
27Jul98,14.27
28Jul98,14.33
29Jul98,14.14
30Jul98,14.26
31Jul98,14.26
03Ago98,13.76
04Ago98,13.8
05Ago98,13.73
06Ago98,13.8
07Ago98,13.84
10Ago98,13.09
11Ago98,12.81
