date,cantidad (TM)
2018-01-01,0
2018-01-02,13
2018-01-03,0
2018-01-04,11
2018-01-05,29
2018-01-06,11
2018-01-07,0
2018-01-08,0
2018-01-09,37
2018-01-10,0
2018-01-11,51
2018-01-12,25
2018-01-13,16
2018-01-14,18
2018-01-15,12
2018-01-16,0
2018-01-17,0
2018-01-18,38
2018-01-19,34
2018-01-20,1
2018-01-21,5
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,136
2018-01-26,13
2018-01-27,4
2018-01-28,0
2018-01-29,0
2018-01-30,14
2018-01-31,3
2018-02-01,28
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,2
2018-02-06,14
2018-02-07,5
2018-02-08,11
2018-02-09,27
2018-02-10,37
2018-02-11,0
2018-02-12,0
2018-02-13,0
2018-02-14,18
2018-02-15,0
2018-02-16,13
2018-02-17,7
2018-02-18,3
2018-02-19,0
2018-02-20,16
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,27
2018-02-25,9
2018-02-26,0
2018-02-27,14
2018-02-28,37
2018-03-01,0
2018-03-02,13
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,11
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,3
2018-03-11,0
2018-03-12,0
2018-03-13,20
2018-03-14,0
2018-03-15,10
2018-03-16,3
2018-03-17,23
2018-03-18,62
2018-03-19,0
2018-03-20,18
2018-03-21,21
2018-03-22,17
2018-03-23,0
2018-03-24,15
2018-03-25,0
2018-03-26,0
2018-03-27,7
2018-03-28,0
2018-03-29,12
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,18
2018-04-04,0
2018-04-05,5
2018-04-06,2
2018-04-07,11
2018-04-08,3
2018-04-09,0
2018-04-10,0
2018-04-11,4
2018-04-12,0
2018-04-13,51
2018-04-14,0
2018-04-15,0
2018-04-16,0
2018-04-17,12
2018-04-18,0
2018-04-19,10
2018-04-20,0
2018-04-21,28
2018-04-22,18
2018-04-23,0
2018-04-24,0
2018-04-25,0
2018-04-26,0
2018-04-27,17
2018-04-28,1
2018-04-29,0
2018-04-30,6
2018-05-01,8
2018-05-02,0
2018-05-03,0
2018-05-04,0
2018-05-05,1
2018-05-06,11
2018-05-07,0
2018-05-08,0
2018-05-09,0
2018-05-10,0
2018-05-11,11
2018-05-12,19
2018-05-13,0
2018-05-14,0
2018-05-15,0
