date,cantidad (TM)
2020-01-01,42
2020-01-02,194
2020-01-03,280
2020-01-04,503
2020-01-05,482
2020-01-06,228
2020-01-07,616
2020-01-08,403
2020-01-09,567
2020-01-10,571
2020-01-11,458
2020-01-12,505
2020-01-13,98
2020-01-14,706
2020-01-15,317
2020-01-16,552
2020-01-17,201
2020-01-18,523
2020-01-19,455
2020-01-20,157
2020-01-21,436
2020-01-22,513
2020-01-23,818
2020-01-24,745
2020-01-25,693
2020-01-26,335
2020-01-27,66
2020-01-28,880
2020-01-29,455
2020-01-30,570
2020-01-31,565
2020-02-01,669
2020-02-02,665
2020-02-03,264
2020-02-04,656
2020-02-05,465
2020-02-06,574
2020-02-07,528
2020-02-08,748
2020-02-09,605
2020-02-10,184
2020-02-11,690
2020-02-12,417
2020-02-13,789
2020-02-14,555
2020-02-15,909
2020-02-16,435
2020-02-17,37
2020-02-18,695
2020-02-19,439
2020-02-20,752
2020-02-21,553
2020-02-22,855
2020-02-23,482
2020-02-24,70
2020-02-25,664
2020-02-26,535
2020-02-27,599
2020-02-28,498
2020-02-29,841
2020-03-01,535
2020-03-02,249
2020-03-03,658
2020-03-04,683
2020-03-05,738
2020-03-06,823
2020-03-07,773
2020-03-08,589
2020-03-09,234
2020-03-10,1133
2020-03-11,519
2020-03-12,551
2020-03-13,524
2020-03-14,748
2020-03-15,614
2020-03-16,131
2020-03-17,960
2020-03-18,724
2020-03-19,792
2020-03-20,428
2020-03-21,521
2020-03-22,240
2020-03-23,176
2020-03-24,736
2020-03-25,241
2020-03-26,774
2020-03-27,314
2020-03-28,595
2020-03-29,372
2020-03-30,190
2020-03-31,658
2020-04-01,397
2020-04-02,511
2020-04-03,460
2020-04-04,869
2020-04-05,39
2020-04-06,262
2020-04-07,695
2020-04-08,1198
2020-04-09,144
2020-04-10,30
2020-04-11,821
2020-04-12,36
2020-04-13,621
2020-04-14,1055
2020-04-15,894
2020-04-16,1119
2020-04-17,778
2020-04-18,694
2020-04-19,12
2020-04-20,688
2020-04-21,459
2020-04-22,352
2020-04-23,539
2020-04-24,674
2020-04-25,500
2020-04-26,25
2020-04-27,428
2020-04-28,691
2020-04-29,774
2020-04-30,801
2020-05-01,735
2020-05-02,669
2020-05-03,66
2020-05-04,387
2020-05-05,489
2020-05-06,488
2020-05-07,688
2020-05-08,979
2020-05-09,878
2020-05-10,98
2020-05-11,475
2020-05-12,755
2020-05-13,806
2020-05-14,981
2020-05-15,855
2020-05-16,802
2020-05-17,49
2020-05-18,482
2020-05-19,933
2020-05-20,596
2020-05-21,843
2020-05-22,860
2020-05-23,696
2020-05-24,0
2020-05-25,388
2020-05-26,709
2020-05-27,942
2020-05-28,314
2020-05-29,250
2020-05-30,476
2020-05-31,21
2020-06-01,340
2020-06-02,420
2020-06-03,574
2020-06-04,772
2020-06-05,856
2020-06-06,661
2020-06-07,60
2020-06-08,462
2020-06-09,611
2020-06-10,531
2020-06-11,600
2020-06-12,860
2020-06-13,792
2020-06-14,78
2020-06-15,428
2020-06-16,702
2020-06-17,538
2020-06-18,761
2020-06-19,844
2020-06-20,686
2020-06-21,28
2020-06-22,327
2020-06-23,781
2020-06-24,443
2020-06-25,801
2020-06-26,685
2020-06-27,577
2020-06-28,0
2020-06-29,412
2020-06-30,489
2020-07-01,527
2020-07-02,516
2020-07-03,862
2020-07-04,611
2020-07-05,294
2020-07-06,203
2020-07-07,504
2020-07-08,590
2020-07-09,858
2020-07-10,696
2020-07-11,560
2020-07-12,482
2020-07-13,264
2020-07-14,487
2020-07-15,392
2020-07-16,558
2020-07-17,753
2020-07-18,741
2020-07-19,369
2020-07-20,239
2020-07-21,589
2020-07-22,451
2020-07-23,663
2020-07-24,660
2020-07-25,395
2020-07-26,419
2020-07-27,125
2020-07-28,460
2020-07-29,400
2020-07-30,783
2020-07-31,563
2020-08-01,571
2020-08-02,428
2020-08-03,161
2020-08-04,523
2020-08-05,589
2020-08-06,584
2020-08-07,563
2020-08-08,457
2020-08-09,450
2020-08-10,145
2020-08-11,446
2020-08-12,420
2020-08-13,362
2020-08-14,460
2020-08-15,364
2020-08-16,20
2020-08-17,215
2020-08-18,388
2020-08-19,440
2020-08-20,458
2020-08-21,539
2020-08-22,491
2020-08-23,27
2020-08-24,294
2020-08-25,447
2020-08-26,290
2020-08-27,488
2020-08-28,434
2020-08-29,305
2020-08-30,19
2020-08-31,73
2020-09-01,83
2020-09-02,276
2020-09-03,513
2020-09-04,252
2020-09-05,363
2020-09-06,50
2020-09-07,177
2020-09-08,245
2020-09-09,276
2020-09-10,544
2020-09-11,246
2020-09-12,425
2020-09-13,22
2020-09-14,146
2020-09-15,371
2020-09-16,195
2020-09-17,496
2020-09-18,250
2020-09-19,320
2020-09-20,65
2020-09-21,39
2020-09-22,453
2020-09-23,163
2020-09-24,459
2020-09-25,271
2020-09-26,278
2020-09-27,98
2020-09-28,67
2020-09-29,197
2020-09-30,150
2020-10-01,345
2020-10-02,270
2020-10-03,285
2020-10-04,184
2020-10-05,52
2020-10-06,268
2020-10-07,189
2020-10-08,366
2020-10-09,278
2020-10-10,307
2020-10-11,225
2020-10-12,33
2020-10-13,353
2020-10-14,222
2020-10-15,365
2020-10-16,187
2020-10-17,295
2020-10-18,72
2020-10-19,0
2020-10-20,409
2020-10-21,200
2020-10-22,441
2020-10-23,194
2020-10-24,298
2020-10-25,169
2020-10-26,111
2020-10-27,285
2020-10-28,298
2020-10-29,252
2020-10-30,394
2020-10-31,214
2020-11-01,56
2020-11-02,57
2020-11-03,270
2020-11-04,266
2020-11-05,317
2020-11-06,331
2020-11-07,331
2020-11-08,192
2020-11-09,39
2020-11-10,559
2020-11-11,236
2020-11-12,528
2020-11-13,346
2020-11-14,298
2020-11-15,190
2020-11-16,42
2020-11-17,465
2020-11-18,286
2020-11-19,394
2020-11-20,213
2020-11-21,333
2020-11-22,216
2020-11-23,10
2020-11-24,307
2020-11-25,310
2020-11-26,324
2020-11-27,314
2020-11-28,405
2020-11-29,238
2020-11-30,56
2020-12-01,430
2020-12-02,258
2020-12-03,352
