dates,producto,precio_mean
2020-01-01,PAPA BLANCA/VALLE/OTROS,1.03
2020-01-01,PAPA COLOR/VALLE/OTROS,1.05
2020-01-01,PAPA NEGRA ANDINA,1.4
2020-01-01,PAPA YUNGAY,1.2
2020-01-01,PAPA UNICA,0.93
2020-01-01,PAPA CANCHAN,1.13
2020-01-02,PAPA BLANCA/VALLE/OTROS,0.98
2020-01-02,PAPA COLOR/VALLE/OTROS,1.03
2020-01-02,PAPA NEGRA ANDINA,1.45
2020-01-02,PAPA YUNGAY,1.25
2020-01-02,PAPA UNICA,0.93
2020-01-02,PAPA CANCHAN,1.13
2020-01-03,PAPA BLANCA/VALLE/OTROS,0.99
2020-01-03,PAPA COLOR/VALLE/OTROS,1.06
2020-01-03,PAPA NEGRA ANDINA,1.33
2020-01-03,PAPA YUNGAY,1.15
2020-01-03,PAPA UNICA,1.01
2020-01-03,PAPA CANCHAN,1.13
2020-01-04,PAPA BLANCA/VALLE/OTROS,1.0
2020-01-04,PAPA COLOR/VALLE/OTROS,1.05
2020-01-04,PAPA NEGRA ANDINA,1.33
2020-01-04,PAPA YUNGAY,1.15
2020-01-04,PAPA UNICA,0.98
2020-01-04,PAPA CANCHAN,1.13
2020-01-05,PAPA BLANCA/VALLE/OTROS,0.98
2020-01-05,PAPA COLOR/VALLE/OTROS,1.05
2020-01-05,PAPA NEGRA ANDINA,1.33
2020-01-05,PAPA YUNGAY,1.15
2020-01-05,PAPA UNICA,0.98
2020-01-05,PAPA CANCHAN,1.13
2020-01-06,PAPA BLANCA/VALLE/OTROS,0.93
2020-01-06,PAPA COLOR/VALLE/OTROS,1.03
2020-01-06,PAPA NEGRA ANDINA,1.3
2020-01-06,PAPA YUNGAY,1.04
2020-01-06,PAPA UNICA,0.93
2020-01-06,PAPA CANCHAN,1.13
2020-01-07,PAPA BLANCA/VALLE/OTROS,0.88
2020-01-07,PAPA COLOR/VALLE/OTROS,1.0
2020-01-07,PAPA NEGRA ANDINA,1.25
2020-01-07,PAPA YUNGAY,0.96
2020-01-07,PAPA UNICA,0.93
2020-01-07,PAPA CANCHAN,1.08
2020-01-08,PAPA BLANCA/VALLE/OTROS,0.85
2020-01-08,PAPA COLOR/VALLE/OTROS,0.99
2020-01-08,PAPA NEGRA ANDINA,1.3
2020-01-08,PAPA YUNGAY,0.93
2020-01-08,PAPA UNICA,0.88
2020-01-08,PAPA CANCHAN,1.09
2020-01-09,PAPA BLANCA/VALLE/OTROS,0.75
2020-01-09,PAPA COLOR/VALLE/OTROS,0.95
2020-01-09,PAPA NEGRA ANDINA,1.23
2020-01-09,PAPA YUNGAY,0.81
2020-01-09,PAPA UNICA,0.85
2020-01-09,PAPA CANCHAN,1.06
2020-01-10,PAPA BLANCA/VALLE/OTROS,0.73
2020-01-10,PAPA COLOR/VALLE/OTROS,0.9
2020-01-10,PAPA NEGRA ANDINA,1.08
2020-01-10,PAPA YUNGAY,0.8
2020-01-10,PAPA UNICA,0.82
2020-01-10,PAPA CANCHAN,0.96
2020-01-11,PAPA BLANCA/VALLE/OTROS,0.76
2020-01-11,PAPA COLOR/VALLE/OTROS,0.9
2020-01-11,PAPA NEGRA ANDINA,1.08
2020-01-11,PAPA YUNGAY,0.8
2020-01-11,PAPA UNICA,0.83
2020-01-11,PAPA CANCHAN,0.96
2020-01-12,PAPA BLANCA/VALLE/OTROS,0.76
2020-01-12,PAPA COLOR/VALLE/OTROS,0.9
2020-01-12,PAPA NEGRA ANDINA,1.08
2020-01-12,PAPA YUNGAY,0.8
2020-01-12,PAPA UNICA,0.83
2020-01-12,PAPA CANCHAN,0.96
2020-01-13,PAPA BLANCA/VALLE/OTROS,0.7
2020-01-13,PAPA COLOR/VALLE/OTROS,0.84
2020-01-13,PAPA NEGRA ANDINA,0.93
2020-01-13,PAPA YUNGAY,0.74
2020-01-13,PAPA UNICA,0.81
2020-01-13,PAPA CANCHAN,0.85
2020-01-14,PAPA BLANCA/VALLE/OTROS,0.68
2020-01-14,PAPA COLOR/VALLE/OTROS,0.78
2020-01-14,PAPA NEGRA ANDINA,0.9
2020-01-14,PAPA YUNGAY,0.7
2020-01-14,PAPA UNICA,0.79
2020-01-14,PAPA CANCHAN,0.75
2020-01-15,PAPA BLANCA/VALLE/OTROS,0.69
2020-01-15,PAPA COLOR/VALLE/OTROS,0.79
2020-01-15,PAPA NEGRA ANDINA,0.95
2020-01-15,PAPA YUNGAY,0.66
2020-01-15,PAPA UNICA,0.76
2020-01-15,PAPA CANCHAN,0.78
2020-01-16,PAPA BLANCA/VALLE/OTROS,0.64
2020-01-16,PAPA COLOR/VALLE/OTROS,0.75
2020-01-16,PAPA NEGRA ANDINA,0.9
2020-01-16,PAPA YUNGAY,0.66
2020-01-16,PAPA UNICA,0.76
2020-01-16,PAPA CANCHAN,0.74
2020-01-17,PAPA BLANCA/VALLE/OTROS,0.66
2020-01-17,PAPA COLOR/VALLE/OTROS,0.8
2020-01-17,PAPA NEGRA ANDINA,0.89
2020-01-17,PAPA YUNGAY,0.69
2020-01-17,PAPA UNICA,0.8
2020-01-17,PAPA CANCHAN,0.78
2020-01-18,PAPA BLANCA/VALLE/OTROS,0.71
2020-01-18,PAPA COLOR/VALLE/OTROS,0.93
2020-01-18,PAPA NEGRA ANDINA,0.96
2020-01-18,PAPA YUNGAY,0.85
2020-01-18,PAPA UNICA,0.9
2020-01-18,PAPA CANCHAN,0.98
2020-01-19,PAPA BLANCA/VALLE/OTROS,0.71
2020-01-19,PAPA COLOR/VALLE/OTROS,0.93
2020-01-19,PAPA NEGRA ANDINA,0.96
2020-01-19,PAPA YUNGAY,0.85
2020-01-19,PAPA UNICA,0.9
2020-01-19,PAPA CANCHAN,0.98
2020-01-20,PAPA BLANCA/VALLE/OTROS,0.79
2020-01-20,PAPA COLOR/VALLE/OTROS,0.99
2020-01-20,PAPA NEGRA ANDINA,1.05
2020-01-20,PAPA YUNGAY,0.95
2020-01-20,PAPA UNICA,0.96
2020-01-20,PAPA CANCHAN,1.0
2020-01-21,PAPA BLANCA/VALLE/OTROS,0.8
2020-01-21,PAPA COLOR/VALLE/OTROS,1.03
2020-01-21,PAPA NEGRA ANDINA,1.03
2020-01-21,PAPA YUNGAY,0.91
2020-01-21,PAPA UNICA,1.1
2020-01-21,PAPA CANCHAN,0.96
2020-01-22,PAPA BLANCA/VALLE/OTROS,0.75
2020-01-22,PAPA COLOR/VALLE/OTROS,1.05
2020-01-22,PAPA NEGRA ANDINA,1.04
2020-01-22,PAPA YUNGAY,0.85
2020-01-22,PAPA UNICA,1.1
2020-01-22,PAPA CANCHAN,1.0
2020-01-23,PAPA BLANCA/VALLE/OTROS,0.71
2020-01-23,PAPA COLOR/VALLE/OTROS,1.0
2020-01-23,PAPA NEGRA ANDINA,1.03
2020-01-23,PAPA YUNGAY,0.79
2020-01-23,PAPA UNICA,1.05
2020-01-23,PAPA CANCHAN,0.95
2020-01-24,PAPA BLANCA/VALLE/OTROS,0.65
2020-01-24,PAPA COLOR/VALLE/OTROS,0.99
2020-01-24,PAPA NEGRA ANDINA,1.0
2020-01-24,PAPA YUNGAY,0.75
2020-01-24,PAPA UNICA,1.0
2020-01-24,PAPA CANCHAN,0.96
2020-01-25,PAPA BLANCA/VALLE/OTROS,0.66
2020-01-25,PAPA COLOR/VALLE/OTROS,0.99
2020-01-25,PAPA NEGRA ANDINA,0.99
2020-01-25,PAPA YUNGAY,0.75
2020-01-25,PAPA UNICA,1.0
2020-01-25,PAPA CANCHAN,0.96
2020-01-26,PAPA BLANCA/VALLE/OTROS,0.66
2020-01-26,PAPA COLOR/VALLE/OTROS,0.99
2020-01-26,PAPA NEGRA ANDINA,0.96
2020-01-26,PAPA YUNGAY,0.75
2020-01-26,PAPA UNICA,1.0
2020-01-26,PAPA CANCHAN,0.96
2020-01-27,PAPA BLANCA/VALLE/OTROS,0.63
2020-01-27,PAPA COLOR/VALLE/OTROS,0.94
2020-01-27,PAPA NEGRA ANDINA,0.91
2020-01-27,PAPA YUNGAY,0.78
2020-01-27,PAPA UNICA,1.0
2020-01-27,PAPA CANCHAN,0.86
2020-01-28,PAPA BLANCA/VALLE/OTROS,0.61
2020-01-28,PAPA COLOR/VALLE/OTROS,0.95
2020-01-28,PAPA NEGRA ANDINA,0.9
2020-01-28,PAPA YUNGAY,0.65
2020-01-28,PAPA UNICA,0.95
2020-01-28,PAPA CANCHAN,0.95
