dates,producto,precio_mean
2013-12-01,PAPA BLANCA/VALLE/OTROS,0.6
2013-12-01,PAPA COLOR/VALLE/OTROS,0.67
2013-12-01,PAPA NEGRA ANDINA,0.83
2013-12-01,PAPA YUNGAY,0.62
2013-12-01,PAPA UNICA,0.66
2013-12-01,PAPA CANCHAN,0.65
2013-12-02,PAPA BLANCA/VALLE/OTROS,0.6
2013-12-02,PAPA COLOR/VALLE/OTROS,0.64
2013-12-02,PAPA NEGRA ANDINA,0.81
2013-12-02,PAPA YUNGAY,0.61
2013-12-02,PAPA UNICA,0.65
2013-12-02,PAPA CANCHAN,0.64
2013-12-03,PAPA BLANCA/VALLE/OTROS,0.58
2013-12-03,PAPA COLOR/VALLE/OTROS,0.75
2013-12-03,PAPA NEGRA ANDINA,0.85
2013-12-03,PAPA YUNGAY,0.63
2013-12-03,PAPA UNICA,0.64
2013-12-03,PAPA CANCHAN,0.85
2013-12-04,PAPA BLANCA/VALLE/OTROS,0.62
2013-12-04,PAPA COLOR/VALLE/OTROS,0.66
2013-12-04,PAPA NEGRA ANDINA,0.83
2013-12-04,PAPA YUNGAY,0.61
2013-12-04,PAPA UNICA,0.53
2013-12-04,PAPA CANCHAN,0.81
2013-12-05,PAPA BLANCA/VALLE/OTROS,0.6
2013-12-05,PAPA COLOR/VALLE/OTROS,0.68
2013-12-05,PAPA NEGRA ANDINA,0.83
2013-12-05,PAPA YUNGAY,0.6
2013-12-05,PAPA UNICA,0.55
2013-12-05,PAPA CANCHAN,0.8
2013-12-06,PAPA BLANCA/VALLE/OTROS,0.55
2013-12-06,PAPA COLOR/VALLE/OTROS,0.56
2013-12-06,PAPA NEGRA ANDINA,0.79
2013-12-06,PAPA YUNGAY,0.56
2013-12-06,PAPA UNICA,0.58
2013-12-06,PAPA CANCHAN,0.83
2013-12-07,PAPA BLANCA/VALLE/OTROS,0.57
2013-12-07,PAPA COLOR/VALLE/OTROS,0.74
2013-12-07,PAPA NEGRA ANDINA,0.81
2013-12-07,PAPA YUNGAY,0.6
2013-12-07,PAPA UNICA,0.6
2013-12-07,PAPA CANCHAN,0.86
2013-12-08,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-08,PAPA COLOR/VALLE/OTROS,0.68
2013-12-08,PAPA NEGRA ANDINA,0.85
2013-12-08,PAPA YUNGAY,0.65
2013-12-08,PAPA UNICA,0.57
2013-12-08,PAPA CANCHAN,0.76
2013-12-09,PAPA BLANCA/VALLE/OTROS,0.55
2013-12-09,PAPA COLOR/VALLE/OTROS,0.6
2013-12-09,PAPA NEGRA ANDINA,0.86
2013-12-09,PAPA YUNGAY,0.55
2013-12-09,PAPA UNICA,0.54
2013-12-09,PAPA CANCHAN,0.66
2013-12-10,PAPA BLANCA/VALLE/OTROS,0.55
2013-12-10,PAPA COLOR/VALLE/OTROS,0.72
2013-12-10,PAPA NEGRA ANDINA,0.82
2013-12-10,PAPA YUNGAY,0.58
2013-12-10,PAPA UNICA,0.6
2013-12-10,PAPA CANCHAN,0.83
2013-12-11,PAPA BLANCA/VALLE/OTROS,0.55
2013-12-11,PAPA COLOR/VALLE/OTROS,0.71
2013-12-11,PAPA NEGRA ANDINA,0.82
2013-12-11,PAPA YUNGAY,0.58
2013-12-11,PAPA UNICA,0.56
2013-12-11,PAPA CANCHAN,0.85
2013-12-12,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-12,PAPA COLOR/VALLE/OTROS,0.75
2013-12-12,PAPA NEGRA ANDINA,0.83
2013-12-12,PAPA YUNGAY,0.58
2013-12-12,PAPA UNICA,0.67
2013-12-12,PAPA CANCHAN,0.84
2013-12-13,PAPA BLANCA/VALLE/OTROS,0.58
2013-12-13,PAPA COLOR/VALLE/OTROS,0.71
2013-12-13,PAPA NEGRA ANDINA,0.87
2013-12-13,PAPA YUNGAY,0.59
2013-12-13,PAPA UNICA,0.65
2013-12-13,PAPA CANCHAN,0.79
2013-12-14,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-14,PAPA COLOR/VALLE/OTROS,0.7
2013-12-14,PAPA NEGRA ANDINA,0.81
2013-12-14,PAPA YUNGAY,0.58
2013-12-14,PAPA UNICA,0.55
2013-12-14,PAPA CANCHAN,0.85
2013-12-15,PAPA BLANCA/VALLE/OTROS,0.57
2013-12-15,PAPA COLOR/VALLE/OTROS,0.72
2013-12-15,PAPA NEGRA ANDINA,0.8
2013-12-15,PAPA YUNGAY,0.58
2013-12-15,PAPA UNICA,0.59
2013-12-15,PAPA CANCHAN,0.85
2013-12-16,PAPA BLANCA/VALLE/OTROS,0.58
2013-12-16,PAPA COLOR/VALLE/OTROS,0.73
2013-12-16,PAPA NEGRA ANDINA,0.8
2013-12-16,PAPA YUNGAY,0.58
2013-12-16,PAPA UNICA,0.62
2013-12-16,PAPA CANCHAN,0.86
2013-12-17,PAPA BLANCA/VALLE/OTROS,0.59
2013-12-17,PAPA COLOR/VALLE/OTROS,0.71
2013-12-17,PAPA NEGRA ANDINA,0.78
2013-12-17,PAPA YUNGAY,0.55
2013-12-17,PAPA UNICA,0.63
2013-12-17,PAPA CANCHAN,0.81
2013-12-18,PAPA BLANCA/VALLE/OTROS,0.58
2013-12-18,PAPA COLOR/VALLE/OTROS,0.73
2013-12-18,PAPA NEGRA ANDINA,0.83
2013-12-18,PAPA YUNGAY,0.57
2013-12-18,PAPA UNICA,0.59
2013-12-18,PAPA CANCHAN,0.87
2013-12-19,PAPA BLANCA/VALLE/OTROS,0.59
2013-12-19,PAPA COLOR/VALLE/OTROS,0.73
2013-12-19,PAPA NEGRA ANDINA,0.8
2013-12-19,PAPA YUNGAY,0.58
2013-12-19,PAPA UNICA,0.6
2013-12-19,PAPA CANCHAN,0.84
2013-12-20,PAPA BLANCA/VALLE/OTROS,0.56
2013-12-20,PAPA COLOR/VALLE/OTROS,0.73
2013-12-20,PAPA NEGRA ANDINA,0.75
2013-12-20,PAPA YUNGAY,0.56
2013-12-20,PAPA UNICA,0.6
2013-12-20,PAPA CANCHAN,0.87
2013-12-21,PAPA BLANCA/VALLE/OTROS,0.53
2013-12-21,PAPA COLOR/VALLE/OTROS,0.53
2013-12-21,PAPA NEGRA ANDINA,0.76
2013-12-21,PAPA YUNGAY,0.51
2013-12-21,PAPA UNICA,0.49
2013-12-21,PAPA CANCHAN,0.59
2013-12-22,PAPA BLANCA/VALLE/OTROS,0.54
2013-12-22,PAPA COLOR/VALLE/OTROS,0.63
2013-12-22,PAPA NEGRA ANDINA,0.75
2013-12-22,PAPA YUNGAY,0.54
2013-12-22,PAPA UNICA,0.53
2013-12-22,PAPA CANCHAN,0.71
2013-12-23,PAPA BLANCA/VALLE/OTROS,0.55
2013-12-23,PAPA COLOR/VALLE/OTROS,0.71
2013-12-23,PAPA NEGRA ANDINA,0.74
2013-12-23,PAPA YUNGAY,0.55
2013-12-23,PAPA UNICA,0.58
2013-12-23,PAPA CANCHAN,0.85
2013-12-24,PAPA BLANCA/VALLE/OTROS,0.54
2013-12-24,PAPA COLOR/VALLE/OTROS,0.67
