DEPARTAMENTO,FECHA,TEMPERATURA MAX,TEMPERATURA MIN,HUMEDADRELATIVA(%),PRECIPITACI�N(mm/d�a)
LIMA,2017-01-01,27.3,17.2,89.2,0.0
LIMA,2017-01-02,27.2,17.1,89.4,0.0
LIMA,2017-01-03,27.5,17.3,91.3,0.0
LIMA,2017-01-04,27.3,17.5,90.2,0.0
LIMA,2017-01-05,27.8,17.3,90.5,0.0
LIMA,2017-01-06,27.4,17.5,88.9,0.0
LIMA,2017-01-07,27.3,17.4,89.4,0.0
LIMA,2017-01-08,27.9,17,90.2,0.0
LIMA,2017-01-09,27.5,17.3,88.0,0.0
LIMA,2017-01-10,27.9,17.5,91.4,0.0
LIMA,2017-01-11,27.9,17.8,90.3,0.0
LIMA,2017-01-12,28.1,17.9,90.3,0.0
LIMA,2017-01-13,27.6,18,90.8,0.0
LIMA,2017-01-14,27.3,18.2,90.1,0.0
LIMA,2017-01-15,27.2,18,90.5,6.2
LIMA,2017-01-16,28.1,18.2,91.8,0.0
LIMA,2017-01-17,28,18.5,89.7,2.3
LIMA,2017-01-18,27.9,18.7,89.1,0.0
LIMA,2017-01-19,27.6,19,89.2,1.4
LIMA,2017-01-20,28,18.7,88.9,1.5
LIMA,2017-01-21,28.2,18.6,90.2,2.3
LIMA,2017-01-22,28.3,18.8,89.1,1.7
LIMA,2017-01-23,27.8,18.5,88.7,0.0
LIMA,2017-01-24,28.8,18.7,88.6,0.0
LIMA,2017-01-25,29,19,88.5,0.0
LIMA,2017-01-26,29.2,19.3,89.7,0.0
LIMA,2017-01-27,28.6,19.4,88.3,1.1
LIMA,2017-01-28,28.9,19.6,88.2,0.0
LIMA,2017-01-29,29.3,19.8,88.9,0.0
LIMA,2017-01-30,29.3,20.2,86.2,0.0
LIMA,2017-01-31,29.4,20.4,87.6,0.0
LIMA,2017-02-01,29.5,20.2,87.6,0.0
LIMA,2017-02-02,29.8,20,87.9,0.0
LIMA,2017-02-03,29.9,20.2,80.3,0.0
LIMA,2017-02-04,30.2,20.3,88.4,0.0
LIMA,2017-02-05,30.1,20.1,88.4,0.0
LIMA,2017-02-06,30.2,20.3,89.4,0.0
LIMA,2017-02-07,30,20.1,85.4,0.0
LIMA,2017-02-08,29.9,20.4,90.0,0.0
LIMA,2017-02-09,31.4,20.8,84.1,0.0
LIMA,2017-02-10,30.1,21.5,86.8,0.0
LIMA,2017-02-11,30.1,20.2,87.3,0.0
LIMA,2017-02-12,29,21,90.0,0.0
LIMA,2017-02-13,31.6,21.2,87.2,0.0
LIMA,2017-02-14,31.8,22.1,92.1,0.0
LIMA,2017-02-15,31.4,20.9,89.7,0.0
LIMA,2017-02-16,31.5,22,92.7,0.0
LIMA,2017-02-17,31.1,22.2,88.7,0.0
LIMA,2017-02-18,31.6,21.2,87.8,0.0
LIMA,2017-02-19,32.1,21,S/D,0.0
LIMA,2017-02-20,32.2,20.8,87.8,0.0
LIMA,2017-02-21,31.3,21.3,90.2,0.0
LIMA,2017-02-22,31.2,20.1,88.2,0.0
LIMA,2017-02-23,32.2,22.4,91.1,0.0
LIMA,2017-02-24,30.9,21.2,94.3,0.0
LIMA,2017-02-25,29.9,21.6,93.1,0.0
LIMA,2017-02-26,30.2,22.2,84.7,0.0
LIMA,2017-02-27,32.2,21.9,94.4,0.0
LIMA,2017-02-28,32.1,21.3,91.9,0.0
LIMA,2017-03-01,29.8,22.3,93.6,0.0
LIMA,2017-03-02,30,21,96.1,0.0
LIMA,2017-03-03,29.9,22,95.0,0.0
LIMA,2017-03-04,30.9,21.4,92.0,0.0
LIMA,2017-03-05,31.1,21,94.0,0.0
LIMA,2017-03-06,31.4,21.2,97.2,0.0
LIMA,2017-03-07,30.7,21.2,96.0,0.0
LIMA,2017-03-08,30.2,21,94.2,0.0
LIMA,2017-03-09,30.1,21.3,87.7,0.0
LIMA,2017-03-10,30.3,21.2,89.4,0.0
