producto,year,month,day,precio_min,precio_max,precio_mean
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,1,1.5,1.9,1.73
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,1,1.4,1.9,1.6
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,1,1.5,2.0,1.75
PAPA AMARILLA,2022,5,1,1.4,1.9,1.68
PAPA BLANCA/VALLE/OTROS,2022,5,1,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,1,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,1,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,1,1.5,1.9,1.68
PAPA NEGRA ANDINA,2022,5,1,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,1,1.4,1.8,1.63
PAPA YUNGAY,2022,5,1,1.4,1.8,1.58
PAPA UNICA,2022,5,1,1.4,1.8,1.58
PAPA CANCHAN,2022,5,1,1.4,1.8,1.6
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,2,1.5,1.9,1.73
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,2,1.4,1.9,1.63
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,2,1.0,2.0,1.5
PAPA AMARILLA,2022,5,2,1.4,1.9,1.68
PAPA BLANCA/VALLE/OTROS,2022,5,2,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,2,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,2,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,2,1.5,1.9,1.68
PAPA NEGRA ANDINA,2022,5,2,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,2,1.4,1.8,1.63
PAPA YUNGAY,2022,5,2,1.4,1.8,1.58
PAPA UNICA,2022,5,2,1.4,1.8,1.6
PAPA CANCHAN,2022,5,2,1.4,1.8,1.6
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,3,1.5,1.9,1.73
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,3,1.5,1.9,1.68
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,3,1.0,2.0,1.5
PAPA AMARILLA,2022,5,3,1.4,1.9,1.65
PAPA BLANCA/VALLE/OTROS,2022,5,3,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,3,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,3,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,3,1.5,1.9,1.68
PAPA NEGRA ANDINA,2022,5,3,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,3,1.4,1.8,1.63
PAPA YUNGAY,2022,5,3,1.4,1.8,1.58
PAPA UNICA,2022,5,3,1.4,1.8,1.6
PAPA CANCHAN,2022,5,3,1.4,1.8,1.6
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,4,1.5,1.9,1.73
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,4,1.5,1.9,1.68
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,4,1.0,1.5,1.25
PAPA AMARILLA,2022,5,4,1.4,1.9,1.65
PAPA BLANCA/VALLE/OTROS,2022,5,4,1.4,1.8,1.58
PAPA COLOR/VALLE/OTROS,2022,5,4,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,4,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,4,1.5,1.9,1.68
PAPA NEGRA ANDINA,2022,5,4,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,4,1.4,1.8,1.63
PAPA YUNGAY,2022,5,4,1.4,1.8,1.58
PAPA UNICA,2022,5,4,1.4,1.8,1.6
PAPA CANCHAN,2022,5,4,1.4,1.8,1.6
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,5,1.5,1.9,1.73
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,5,1.5,1.9,1.68
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,5,1.0,2.0,1.5
PAPA AMARILLA,2022,5,5,1.4,1.9,1.63
PAPA BLANCA/VALLE/OTROS,2022,5,5,1.4,1.7,1.55
PAPA COLOR/VALLE/OTROS,2022,5,5,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,5,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,5,1.5,1.9,1.68
PAPA NEGRA ANDINA,2022,5,5,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,5,1.4,1.8,1.63
PAPA YUNGAY,2022,5,5,1.4,1.8,1.58
PAPA UNICA,2022,5,5,1.4,1.7,1.55
PAPA CANCHAN,2022,5,5,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,6,1.6,1.9,1.75
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,6,1.5,2.0,1.73
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,6,1.0,2.0,1.63
PAPA AMARILLA,2022,5,6,1.4,1.9,1.63
PAPA BLANCA/VALLE/OTROS,2022,5,6,1.4,1.7,1.55
PAPA COLOR/VALLE/OTROS,2022,5,6,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,6,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,6,1.5,1.9,1.7
PAPA NEGRA ANDINA,2022,5,6,1.4,1.7,1.55
PAPA PERUANITA (INJERTO),2022,5,6,1.4,1.8,1.63
PAPA YUNGAY,2022,5,6,1.45,1.8,1.59
PAPA UNICA,2022,5,6,1.4,1.7,1.55
PAPA CANCHAN,2022,5,6,1.4,1.7,1.55
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,7,1.6,1.9,1.75
CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,2022,5,7,1.5,2.2,1.78
CEBOLLA CHINA (CRIOLLA/SERRANA),2022,5,7,1.0,2.0,1.63
PAPA AMARILLA,2022,5,7,1.4,1.9,1.65
PAPA BLANCA/VALLE/OTROS,2022,5,7,1.3,1.7,1.53
PAPA COLOR/VALLE/OTROS,2022,5,7,1.5,1.8,1.65
PAPA HUAYRO (ROJO-MORO-NEGRO)RUNT/MARH/U,2022,5,7,1.4,1.7,1.55
PAPA HUAMANTANGA,2022,5,7,1.5,1.9,1.7
PAPA NEGRA ANDINA,2022,5,7,1.35,1.7,1.54
PAPA PERUANITA (INJERTO),2022,5,7,1.4,1.8,1.6
PAPA YUNGAY,2022,5,7,1.4,1.8,1.58
PAPA UNICA,2022,5,7,1.3,1.7,1.5
PAPA CANCHAN,2022,5,7,1.3,1.7,1.5
CEBOLLA CABEZA BLANCA NACIONAL,2022,5,8,1.6,1.9,1.75
